"spec","estimator","moderator","focal_coef","beta_focal_hat","magnitude","beta_focal_sim","n_reps","fit_ok_rate","alpha","raw_power_overall","holm_proxy_power_overall","raw_power_conditional","holm_proxy_power_conditional","raw_power","holm_proxy_power","weibull_power_citable","weibull_power_status","weibull_calibration_source","weibull_empirical_alpha_nominal_05","weibull_z_critical_emp_05","weibull_z_critical_holm","weibull_p_calibrated_observed","weibull_calibration_fit_ok_rate","weibull_power_note"
"M5","Firth PML","repress_c","eng_c:repress_c",15.0626967330279,0,0,2000,1,0.05,0.042,0.0055,0.042,0.0055,0.042,0.0055,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M5","Firth PML","repress_c","eng_c:repress_c",15.0626967330279,0,0,2000,1,0.1,0.093,0.013,0.093,0.013,0.093,0.013,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M5","Firth PML","repress_c","eng_c:repress_c",15.0626967330279,0.25,3.76567418325697,2000,1,0.05,0.0685,0.0125,0.0685,0.0125,0.0685,0.0125,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M5","Firth PML","repress_c","eng_c:repress_c",15.0626967330279,0.25,3.76567418325697,2000,1,0.1,0.124,0.021,0.124,0.021,0.124,0.021,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M5","Firth PML","repress_c","eng_c:repress_c",15.0626967330279,0.5,7.53134836651393,2000,1,0.05,0.152,0.0315,0.152,0.0315,0.152,0.0315,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M5","Firth PML","repress_c","eng_c:repress_c",15.0626967330279,0.5,7.53134836651393,2000,1,0.1,0.248,0.0565,0.248,0.0565,0.248,0.0565,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M5","Firth PML","repress_c","eng_c:repress_c",15.0626967330279,1,15.0626967330279,2000,1,0.05,0.475,0.2125,0.475,0.2125,0.475,0.2125,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M5","Firth PML","repress_c","eng_c:repress_c",15.0626967330279,1,15.0626967330279,2000,1,0.1,0.606,0.283,0.606,0.283,0.606,0.283,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M5","Firth PML","repress_c","eng_c:repress_c",15.0626967330279,2,30.1253934660557,2000,1,0.05,0.969,0.812,0.969,0.812,0.969,0.812,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M5","Firth PML","repress_c","eng_c:repress_c",15.0626967330279,2,30.1253934660557,2000,1,0.1,0.9855,0.881,0.9855,0.881,0.9855,0.881,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M6","Firth PML","civlib_c","eng_c:civlib_c",77.9649749823229,0,0,2000,1,0.05,0.0365,0.003,0.0365,0.003,0.0365,0.003,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M6","Firth PML","civlib_c","eng_c:civlib_c",77.9649749823229,0,0,2000,1,0.1,0.0845,0.007,0.0845,0.007,0.0845,0.007,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M6","Firth PML","civlib_c","eng_c:civlib_c",77.9649749823229,0.25,19.4912437455807,2000,1,0.05,0.0565,0.008,0.0565,0.008,0.0565,0.008,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M6","Firth PML","civlib_c","eng_c:civlib_c",77.9649749823229,0.25,19.4912437455807,2000,1,0.1,0.123,0.0165,0.123,0.0165,0.123,0.0165,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M6","Firth PML","civlib_c","eng_c:civlib_c",77.9649749823229,0.5,38.9824874911615,2000,1,0.05,0.152,0.036,0.152,0.036,0.152,0.036,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M6","Firth PML","civlib_c","eng_c:civlib_c",77.9649749823229,0.5,38.9824874911615,2000,1,0.1,0.247,0.059,0.247,0.059,0.247,0.059,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M6","Firth PML","civlib_c","eng_c:civlib_c",77.9649749823229,1,77.9649749823229,2000,1,0.05,0.4605,0.1845,0.4605,0.1845,0.4605,0.1845,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M6","Firth PML","civlib_c","eng_c:civlib_c",77.9649749823229,1,77.9649749823229,2000,1,0.1,0.5785,0.244,0.5785,0.244,0.5785,0.244,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M6","Firth PML","civlib_c","eng_c:civlib_c",77.9649749823229,2,155.929949964646,2000,1,0.05,0.9575,0.802,0.9575,0.802,0.9575,0.802,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M6","Firth PML","civlib_c","eng_c:civlib_c",77.9649749823229,2,155.929949964646,2000,1,0.1,0.982,0.863,0.982,0.863,0.982,0.863,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M7","Firth PML","clpol_c","eng_c:clpol_c",83.8090270249871,0,0,2000,1,0.05,0.0395,0.005,0.0395,0.005,0.0395,0.005,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M7","Firth PML","clpol_c","eng_c:clpol_c",83.8090270249871,0,0,2000,1,0.1,0.0775,0.009,0.0775,0.009,0.0775,0.009,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M7","Firth PML","clpol_c","eng_c:clpol_c",83.8090270249871,0.25,20.9522567562468,2000,1,0.05,0.0585,0.008,0.0585,0.008,0.0585,0.008,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M7","Firth PML","clpol_c","eng_c:clpol_c",83.8090270249871,0.25,20.9522567562468,2000,1,0.1,0.1235,0.0155,0.1235,0.0155,0.1235,0.0155,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M7","Firth PML","clpol_c","eng_c:clpol_c",83.8090270249871,0.5,41.9045135124935,2000,1,0.05,0.164,0.041,0.164,0.041,0.164,0.041,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M7","Firth PML","clpol_c","eng_c:clpol_c",83.8090270249871,0.5,41.9045135124935,2000,1,0.1,0.2485,0.066,0.2485,0.066,0.2485,0.066,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M7","Firth PML","clpol_c","eng_c:clpol_c",83.8090270249871,1,83.8090270249871,2000,1,0.05,0.47,0.189,0.47,0.189,0.47,0.189,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M7","Firth PML","clpol_c","eng_c:clpol_c",83.8090270249871,1,83.8090270249871,2000,1,0.1,0.5965,0.2655,0.5965,0.2655,0.5965,0.2655,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M7","Firth PML","clpol_c","eng_c:clpol_c",83.8090270249871,2,167.618054049974,2000,1,0.05,0.964,0.8305,0.964,0.8305,0.964,0.8305,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M7","Firth PML","clpol_c","eng_c:clpol_c",83.8090270249871,2,167.618054049974,2000,1,0.1,0.9795,0.892,0.9795,0.892,0.9795,0.892,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M8","Firth PML","polity_c","eng_c:polity_c",4.81923687228229,0,0,2000,1,0.05,0.048,0.0055,0.048,0.0055,0.048,0.0055,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M8","Firth PML","polity_c","eng_c:polity_c",4.81923687228229,0,0,2000,1,0.1,0.0895,0.0155,0.0895,0.0155,0.0895,0.0155,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M8","Firth PML","polity_c","eng_c:polity_c",4.81923687228229,0.25,1.20480921807057,2000,1,0.05,0.0905,0.015,0.0905,0.015,0.0905,0.015,NA,NA,NA,NA,NA,NA,NA,NA,NA
