"exhibit_id","model_id","estimator","term","estimate","std_error","p_value","N"
"C12","C12_01_C","coxph","eng_c",22.9394111449589,13.1110785515131,0.0801838287302452,55
"C12","C12_01_C","coxph","I(eng_c^2)",-517.787405630316,227.50972818521,0.0228525177626533,55
"C12","C12_01_C","coxph","fdiin_c",0.00477876032436117,0.088157196945247,0.956770034480851,55
"C12","C12_01_C","coxph","nonviolent1",-0.00708884226121304,0.704655797016323,0.991973411108118,55
"C12","C12_01_C","coxph","REGCHANGE",0.566009951514525,0.938919774207795,0.546621118177754,55
"C12","C12_01_C","coxph","v2csreprss",0.607522130628092,0.251628710681639,0.0157629074454093,55
"C12","C12_01_C","coxph","lnnum_image_sum",0.36940069166954,0.444225909835095,0.405657101289823,55
"C12","C12_01_C","coxph","lngdp_yr",-0.24843984297442,0.399745661901886,0.534274126707852,55
"C12","C12_01_C","coxph","eng_c:fdiin_c",-3.23124175602327,4.24364403101285,0.44639972826399,55
"C12","C12_01_C","coxph","I(eng_c^2):fdiin_c",1.30273022743416,37.9063023560709,0.97258440692454,55
"C12","C12_01_F","logistf","(Intercept)",-2.34032274302836,3.19606124759707,0.480487845030737,61
"C12","C12_01_F","logistf","eng_c",12.3031891117671,10.5816486892917,0.259304038730502,61
"C12","C12_01_F","logistf","I(eng_c^2)",-332.077468260047,224.509429288092,0.131712012040664,61
"C12","C12_01_F","logistf","fdiin_c",-0.00872672680599353,0.0829027980203791,0.918170273869497,61
"C12","C12_01_F","logistf","nonviolent1",0.0237018847841157,0.869509531727774,0.979267257663929,61
"C12","C12_01_F","logistf","REGCHANGE",0.624907298679094,0.780740433058543,0.433961016021766,61
"C12","C12_01_F","logistf","v2csreprss",0.547783396924617,0.308193196669829,0.0755775545237816,61
"C12","C12_01_F","logistf","time_in_campaign",-0.0882464358636991,0.328314715837948,0.803614895428704,61
"C12","C12_01_F","logistf","lnnum_image_sum",0.181603849484143,0.3639679155849,0.632630989131126,61
"C12","C12_01_F","logistf","lngdp_yr",0.0560637328134358,0.362144066334234,0.882541017025309,61
"C12","C12_01_F","logistf","eng_c:fdiin_c",-1.84591385296126,2.28480603355022,0.427391208969448,61
"C12","C12_01_F","logistf","I(eng_c^2):fdiin_c",16.9706753292214,34.1381096229701,0.653077455215766,61
"C12","C12_02_C","coxph","eng_c",34.7404929888537,17.1124511836309,0.0423433715460705,54
"C12","C12_02_C","coxph","I(eng_c^2)",-595.882584822913,420.230719805957,0.15619394388034,54
"C12","C12_02_C","coxph","trade_c",2.75364762895219,0.628465067613705,1.1784099615386e-05,54
"C12","C12_02_C","coxph","nonviolent1",1.44897009939109,0.666515660209606,0.029709072994414,54
"C12","C12_02_C","coxph","REGCHANGE",3.42408258678626,0.818859159489698,2.89556454689535e-05,54
"C12","C12_02_C","coxph","v2csreprss",0.571739031320619,0.427143757373118,0.180728076333882,54
"C12","C12_02_C","coxph","lnnum_image_sum",0.980341814604295,0.503499710021743,0.0515280967218086,54
"C12","C12_02_C","coxph","lngdp_yr",-1.61717958239577,0.413118173452557,9.05658483891407e-05,54
"C12","C12_02_C","coxph","eng_c:trade_c",18.9302668014716,9.47695206610443,0.045770264079394,54
"C12","C12_02_C","coxph","I(eng_c^2):trade_c",-610.999774272357,284.205814880929,0.0315671086718568,54
"C12","C12_02_F","logistf","(Intercept)",2.04150213948816,4.08592941755566,0.643679666916205,60
"C12","C12_02_F","logistf","eng_c",26.9443567682153,15.1522517383868,0.101909156533324,60
"C12","C12_02_F","logistf","I(eng_c^2)",-414.237876509564,287.504359948785,0.219685901948609,60
"C12","C12_02_F","logistf","trade_c",2.19779525703376,0.751944397196546,0.00115621060603299,60
"C12","C12_02_F","logistf","nonviolent1",1.15454796806995,1.14617027589753,0.351902094577822,60
"C12","C12_02_F","logistf","REGCHANGE",2.68520047697445,1.32740330016038,0.0397976917963758,60
"C12","C12_02_F","logistf","v2csreprss",0.288729324895534,0.376797743196513,0.472410689069707,60
"C12","C12_02_F","logistf","time_in_campaign",0.122510773719962,0.460005702273934,0.822011096770264,60
"C12","C12_02_F","logistf","lnnum_image_sum",0.463458211843033,0.427366024889531,0.322497962061121,60
"C12","C12_02_F","logistf","lngdp_yr",-1.1081010066439,0.620960884289651,0.0958473813013039,60
"C12","C12_02_F","logistf","eng_c:trade_c",-2.04116174308237,9.97233683176406,0.880839469070023,60
"C12","C12_02_F","logistf","I(eng_c^2):trade_c",-361.90373992973,202.959372492133,0.0912466517474039,60
"C12","C12_03_C","coxph","eng_c",3.34731497373468,8.69186629160398,0.700156742268258,53
"C12","C12_03_C","coxph","I(eng_c^2)",-947.081748908926,576.966236885768,0.100696661250791,53
"C12","C12_03_C","coxph","lnaid_c",0.330678665386184,0.212893165036541,0.120360776659503,53
"C12","C12_03_C","coxph","nonviolent1",1.6378453099801,1.6562710087879,0.322724210115226,53
"C12","C12_03_C","coxph","REGCHANGE",-3.24802106503498,2.02683378450308,0.109042915384634,53
"C12","C12_03_C","coxph","v2csreprss",1.66706377586412,0.512637429152477,0.00114622091512276,53
"C12","C12_03_C","coxph","lnnum_image_sum",2.80588249611938,1.27217819856184,0.0274138776720775,53
"C12","C12_03_C","coxph","lngdp_yr",-2.08644006718377,1.01781621653891,0.040372406121702,53
"C12","C12_03_C","coxph","eng_c:lnaid_c",21.6965071314818,17.3629137222959,0.211449699535092,53
"C12","C12_03_C","coxph","I(eng_c^2):lnaid_c",-303.660712097963,349.219749266879,0.384551571179678,53
"C12","C12_03_F","logistf","(Intercept)",-1.47071078305338,3.23477768249041,0.665021494801969,59
"C12","C12_03_F","logistf","eng_c",6.77777540187532,10.1446958347837,0.553161350256709,59
"C12","C12_03_F","logistf","I(eng_c^2)",-147.358838665925,226.996932231358,0.553515660262838,59
"C12","C12_03_F","logistf","lnaid_c",0.412900308821582,0.315923098269356,0.207722766172667,59
"C12","C12_03_F","logistf","nonviolent1",0.428652482693032,0.902740454226423,0.650189538124863,59
"C12","C12_03_F","logistf","REGCHANGE",-0.0931370939363524,0.942561313861659,0.928184518327007,59
"C12","C12_03_F","logistf","v2csreprss",0.884097676608426,0.35929031759425,0.0099208520998203,59
"C12","C12_03_F","logistf","time_in_campaign",-0.0802925184186575,0.395688683638148,0.867469408301384,59
"C12","C12_03_F","logistf","lnnum_image_sum",0.5988893062559,0.451190218458085,0.196813595946791,59
"C12","C12_03_F","logistf","lngdp_yr",-0.335447025280486,0.446715120692198,0.476661736786904,59
"C12","C12_03_F","logistf","eng_c:lnaid_c",4.06488562895892,5.77349696877253,0.546116169436985,59
"C12","C12_03_F","logistf","I(eng_c^2):lnaid_c",-228.174505768051,166.72231525097,0.217365517030514,59
"C12","C12_04_C","coxph","eng_c",32.0611540343048,19.4837745813211,0.0998603661721415,53
"C12","C12_04_C","coxph","I(eng_c^2)",-974.950320714538,514.877812573157,0.058283878317098,53
"C12","C12_04_C","coxph","iodonor_c",0.0828828846967122,0.193883720265101,0.669024220775946,53
"C12","C12_04_C","coxph","nonviolent1",1.90397752996703,1.13300818286558,0.0928674046538849,53
"C12","C12_04_C","coxph","REGCHANGE",-3.30480733190812,1.61018711351677,0.040127228488046,53
"C12","C12_04_C","coxph","v2csreprss",1.74746105527041,0.542676421113699,0.00128155186117845,53
"C12","C12_04_C","coxph","lnnum_image_sum",2.61440414175306,1.00295484057731,0.00914189494557413,53
"C12","C12_04_C","coxph","lngdp_yr",-1.78449241209949,0.65137737579576,0.00615200453369903,53
"C12","C12_04_C","coxph","eng_c:iodonor_c",-10.1732769418334,6.62915303626043,0.12487548748676,53
"C12","C12_04_C","coxph","I(eng_c^2):iodonor_c",65.3099422662684,115.028234260202,0.570189017524771,53
"C12","C12_04_F","logistf","(Intercept)",-0.870369250768762,3.7654882685884,0.826965701344834,59
"C12","C12_04_F","logistf","eng_c",8.93416872574384,11.1733199058545,0.485541155727909,59
"C12","C12_04_F","logistf","I(eng_c^2)",-250.429415501119,229.402402967967,0.312168493943654,59
"C12","C12_04_F","logistf","iodonor_c",-0.0360138551115618,0.118515443881465,0.774616135043264,59
"C12","C12_04_F","logistf","nonviolent1",0.581232566564761,0.937102554781605,0.578849709278762,59
"C12","C12_04_F","logistf","REGCHANGE",-0.147214752692896,0.866068871279305,0.881903631455519,59
"C12","C12_04_F","logistf","v2csreprss",0.809810066996889,0.346387764003034,0.0168644976365405,59
"C12","C12_04_F","logistf","time_in_campaign",0.0740674231731542,0.438063382221337,0.879824965812606,59
"C12","C12_04_F","logistf","lnnum_image_sum",0.651065265633726,0.436646448135149,0.162930709023609,59
"C12","C12_04_F","logistf","lngdp_yr",-0.470612032719181,0.521097032607663,0.404076888309853,59
"C12","C12_04_F","logistf","eng_c:iodonor_c",-1.85196650850646,3.45979939413592,0.718748310642431,59
"C12","C12_04_F","logistf","I(eng_c^2):iodonor_c",31.3253509628362,72.6381434224984,0.761401684236492,59
