"spec","estimator","moderator","focal_coef","beta_focal_hat","magnitude","beta_focal_sim","n_reps","fit_ok_rate","alpha","raw_power_overall","holm_proxy_power_overall","raw_power_conditional","holm_proxy_power_conditional","raw_power","holm_proxy_power","weibull_power_citable","weibull_power_status","weibull_calibration_source","weibull_empirical_alpha_nominal_05","weibull_z_critical_emp_05","weibull_z_critical_holm","weibull_p_calibrated_observed","weibull_calibration_fit_ok_rate","weibull_power_note"
"M7","Firth PML","lnaid_c","eng_c:lnaid_c",12.8750013411114,1,12.8750013411114,2000,1,0.1,0.327,0.081,0.327,0.081,0.327,0.081,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M7","Firth PML","lnaid_c","eng_c:lnaid_c",12.8750013411114,2,25.7500026822228,2000,1,0.05,0.6225,0.2735,0.6225,0.2735,0.6225,0.2735,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M7","Firth PML","lnaid_c","eng_c:lnaid_c",12.8750013411114,2,25.7500026822228,2000,1,0.1,0.7545,0.3825,0.7545,0.3825,0.7545,0.3825,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M8","Firth PML","iodonor_c","eng_c:iodonor_c",10.3461361613876,0,0,2000,1,0.05,0.043,0.007,0.043,0.007,0.043,0.007,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M8","Firth PML","iodonor_c","eng_c:iodonor_c",10.3461361613876,0,0,2000,1,0.1,0.0815,0.013,0.0815,0.013,0.0815,0.013,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M8","Firth PML","iodonor_c","eng_c:iodonor_c",10.3461361613876,0.25,2.5865340403469,2000,1,0.05,0.0815,0.0115,0.0815,0.0115,0.0815,0.0115,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M8","Firth PML","iodonor_c","eng_c:iodonor_c",10.3461361613876,0.25,2.5865340403469,2000,1,0.1,0.1475,0.02,0.1475,0.02,0.1475,0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M8","Firth PML","iodonor_c","eng_c:iodonor_c",10.3461361613876,0.5,5.1730680806938,2000,1,0.05,0.2125,0.052,0.2125,0.052,0.2125,0.052,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M8","Firth PML","iodonor_c","eng_c:iodonor_c",10.3461361613876,0.5,5.1730680806938,2000,1,0.1,0.3115,0.0815,0.3115,0.0815,0.3115,0.0815,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M8","Firth PML","iodonor_c","eng_c:iodonor_c",10.3461361613876,1,10.3461361613876,2000,1,0.05,0.695,0.3525,0.695,0.3525,0.695,0.3525,NA,NA,NA,NA,NA,NA,NA,NA,NA
