"spec","estimator","moderator","focal_coef","beta_focal_hat","magnitude","beta_focal_sim","n_reps","fit_ok_rate","alpha","raw_power_overall","holm_proxy_power_overall","raw_power_conditional","holm_proxy_power_conditional","raw_power","holm_proxy_power"
"M10","Firth PML","stterr_c","eng_c:stterr_c",0.135948500208608,0.25,0.0339871250521521,2000,1,0.1,0.077,0.012,0.077,0.012,0.077,0.012
"M10","Firth PML","stterr_c","eng_c:stterr_c",0.135948500208608,0.5,0.0679742501043041,2000,1,0.05,0.0475,0.0065,0.0475,0.0065,0.0475,0.0065
"M10","Firth PML","stterr_c","eng_c:stterr_c",0.135948500208608,0.5,0.0679742501043041,2000,1,0.1,0.097,0.0105,0.097,0.0105,0.097,0.0105
"M10","Firth PML","stterr_c","eng_c:stterr_c",0.135948500208608,1,0.135948500208608,2000,1,0.05,0.059,0.0065,0.059,0.0065,0.059,0.0065
"M10","Firth PML","stterr_c","eng_c:stterr_c",0.135948500208608,1,0.135948500208608,2000,1,0.1,0.108,0.014,0.108,0.014,0.108,0.014
"M10","Firth PML","stterr_c","eng_c:stterr_c",0.135948500208608,2,0.271897000417216,2000,1,0.05,0.059,0.009,0.059,0.009,0.059,0.009
"M10","Firth PML","stterr_c","eng_c:stterr_c",0.135948500208608,2,0.271897000417216,2000,1,0.1,0.1095,0.0185,0.1095,0.0185,0.1095,0.0185
"M1","Weibull AFT","domaut_c","eng_c:domaut_c",-4.29158817723511,0,0,2000,0.9995,0.05,0.0715,0.0115,0.071535767883942,0.0115057528764382,0.0715,0.0115
"M1","Weibull AFT","domaut_c","eng_c:domaut_c",-4.29158817723511,0,0,2000,0.9995,0.1,0.1335,0.0215,0.133566783391696,0.0215107553776888,0.1335,0.0215
"M1","Weibull AFT","domaut_c","eng_c:domaut_c",-4.29158817723511,0.25,-1.07289704430878,2000,1,0.05,0.072,0.011,0.072,0.011,0.072,0.011
"M1","Weibull AFT","domaut_c","eng_c:domaut_c",-4.29158817723511,0.25,-1.07289704430878,2000,1,0.1,0.135,0.0185,0.135,0.0185,0.135,0.0185
"M1","Weibull AFT","domaut_c","eng_c:domaut_c",-4.29158817723511,0.5,-2.14579408861755,2000,1,0.05,0.098,0.019,0.098,0.019,0.098,0.019
"M1","Weibull AFT","domaut_c","eng_c:domaut_c",-4.29158817723511,0.5,-2.14579408861755,2000,1,0.1,0.1785,0.0295,0.1785,0.0295,0.1785,0.0295
