"Model","Estimator","DV","Moderator","Variable","Estimate","SE","p","CI_lo","CI_hi","N","Converged"
"S1","Firth PML","concession_resolved","FDI","(Intercept)",-1.4722337254729,4.89852295866633,0.771588744971299,-11.9369292514859,8.49334668323162,66,
"S1","Firth PML","concession_resolved","FDI","eng_c",2.5214729258147,11.5472576691923,0.836709102731601,-21.611929100362,27.6808236428548,66,
"S1","Firth PML","concession_resolved","FDI","fdiin_c",-0.273877516004757,0.105309256100143,0.00475715509395069,-0.554334665197423,-0.0741945000882563,66,
"S1","Firth PML","concession_resolved","FDI","nonviolent_camp1",0.948559872088065,1.28050464168493,0.486840016681207,-1.85340558489022,3.69910606243242,66,
"S1","Firth PML","concession_resolved","FDI","goalsREGCHANGE",1.95926485472019,1.83119621954482,0.259530350368396,-1.41638247473717,7.14827378170556,66,
"S1","Firth PML","concession_resolved","FDI","goalsSECESSION",1.45935525115724,2.51686297322264,0.661635235658105,-5.0596937080501,8.57829619384888,66,
"S1","Firth PML","concession_resolved","FDI","v2csreprss",0.519210452718545,0.270369789120947,0.0556403650311319,-0.0122936475447354,1.1208781827005,66,
"S1","Firth PML","concession_resolved","FDI","lngdp",-0.129765492744612,0.347978770775025,0.725512923970641,-0.889021629910256,0.612057960440647,66,
"S1","Firth PML","concession_resolved","FDI","lnpop",-0.176196562629084,0.242338929460341,0.491707991599637,-0.705661218359698,0.32785391216625,66,
"S1","Firth PML","concession_resolved","FDI","colonized_english1",0.108879326806441,0.824108847969579,0.898647887933213,-1.5499647776473,1.89651993373649,66,
"S1","Firth PML","concession_resolved","FDI","lnlengthofcam",0.869591489157094,0.607353526375886,0.160579557392109,-0.337755643404762,2.20973765787567,66,
"S1","Firth PML","concession_resolved","FDI","lnnum_image_sum",0.527545169809786,0.331539873944425,0.113024966666352,-0.120652071815645,1.27503401763359,66,
"S1","Firth PML","concession_resolved","FDI","eng_c:fdiin_c",-3.35434165412898,3.38375911529283,0.367448696071886,-12.0618073608664,3.65350978258907,66,
"S2","Firth PML","concession_resolved","Trade","(Intercept)",-6.46934167349811,5.05904725085538,0.204665339171117,-17.6568997084916,3.44994732007236,60,
"S2","Firth PML","concession_resolved","Trade","eng_c",4.48668849226447,11.4022024693223,0.714305468225405,-19.9287803283354,29.1096880028922,60,
"S2","Firth PML","concession_resolved","Trade","trade_c",-0.417288633217238,0.32437482971338,0.209171681929514,-1.25658955009953,0.222483498950424,60,
"S2","Firth PML","concession_resolved","Trade","nonviolent_camp1",1.16847196132911,1.4644421582743,0.440354666118438,-1.88643582022433,4.29860569150145,60,
"S2","Firth PML","concession_resolved","Trade","goalsREGCHANGE",1.0810891286621,1.90355760468032,0.564332879608808,-2.51140498512589,6.33564549343472,60,
"S2","Firth PML","concession_resolved","Trade","goalsSECESSION",0.616742861780587,2.31928081872673,0.802136385636272,-5.33252428819223,6.6451304164853,60,
"S2","Firth PML","concession_resolved","Trade","v2csreprss",0.769494666276863,0.310954899658888,0.00949838939078684,0.175240588698271,1.50381798346203,60,
"S2","Firth PML","concession_resolved","Trade","lngdp",-0.0110745143300768,0.354280374528871,0.976858855244285,-0.748530900686005,0.789653844821254,60,
"S2","Firth PML","concession_resolved","Trade","lnpop",0.0304317519592253,0.259489373182046,0.912377014655381,-0.524343504289522,0.58378043976946,60,
"S2","Firth PML","concession_resolved","Trade","colonized_english1",-0.283839210274978,0.99865220294068,0.794769063422922,-2.32907980878052,1.96252900720433,60,
"S2","Firth PML","concession_resolved","Trade","lnlengthofcam",0.740771049428291,0.649431675141577,0.272212453665344,-0.572999542518239,2.18345072399603,60,
"S2","Firth PML","concession_resolved","Trade","lnnum_image_sum",0.728108320704992,0.323024011500415,0.0202091041118556,0.109081616379515,1.4672995390021,60,
"S2","Firth PML","concession_resolved","Trade","eng_c:trade_c",4.48199943243706,11.2067374353599,0.716209699342127,-17.2428628773966,34.9761830892454,60,
