"label","col1","col2","col3","col4","col5","col6","col7","col8"
"Proportion of English-Language Signs","2.286","1.450","-3.791","-2.852","21.417**","16.064**","10.079","7.690"
"","(2.934)","(2.963)","(7.372)","(7.693)","(10.664)","(7.121)","(9.108)","(8.374)"
"Domestic Autonomy","0.025","","-0.215","","-1.392***","","-1.060**",""
"","(0.111)","","(0.269)","","(0.380)","","(0.503)",""
"Proportion English-Language Signs X Domestic Autonomy","-4.292","","12.741","","22.062**","","11.256",""
"","(3.757)","","(8.731)","","(9.638)","","(9.581)",""
"State Authority Over Territory","","0.001","","-0.025","","-0.048**","","-0.049"
"","","(0.009)","","(0.021)","","(0.020)","","(0.032)"
"Proportion English-Language Signs X State Authority Over Territory","","-0.142","","0.655","","0.811","","0.136"
"","","(0.216)","","(0.526)","","(0.562)","","(0.520)"
"Campaign Length, in Years (ln)","","","-0.468","-0.467","","","",""
"","","","(0.387)","(0.396)","","","",""
"Time in Campaign (years)","","","","","","","-0.055","-0.089"
"","","","","","","","(0.346)","(0.317)"
"Campaign Primarily Nonviolent","-0.181","-0.316","-0.266","0.133","0.902","0.629","0.741","0.961"
"","(0.475)","(0.527)","(0.824)","(0.924)","(0.620)","(0.642)","(0.939)","(1.099)"
"Campaign Purpose Regime Change","-1.042*","-1.016*","1.120","1.008","0.646","0.572","0.561","0.399"
"","(0.600)","(0.594)","(0.947)","(0.937)","(1.084)","(1.121)","(0.838)","(0.815)"
"Campaign Location V-Dem CSO Repression","-0.376***","-0.345***","0.408**","0.414**","1.355***","0.885***","0.947***","0.643**"
"","(0.090)","(0.087)","(0.185)","(0.185)","(0.361)","(0.292)","(0.336)","(0.277)"
"Number of Images on Campaign (ln)","0.252***","0.250***","0.014","0.038","","","",""
"","(0.078)","(0.079)","(0.207)","(0.211)","","","",""
"Number of Images in Campaign-Year (ln)","","","","","0.641*","0.476","0.415","0.264"
"","","","","","(0.356)","(0.340)","(0.359)","(0.333)"
"Constant","1.343","1.420","-0.946","-1.319","","","-4.147*","-3.303"
"","(0.833)","(0.869)","(1.561)","(1.630)","","","(2.455)","(2.209)"
"","","","","","","","",""
"Observations","101","101","101","101","59","59","65","65"
