"CAMPAIGN","LOCATION","ID","cow","iso3","BYEAR","EYEAR","target","success","limited","failure","ongoing","viol","NONVIOL","FSELFDET","REGCHANGE","SECESSION","OTHER","Num_Image_sum","Num_Banner_sum","Eng_Banner_sum","v2svindep","v2svdomaut","v2svinlaut","v2svstterr","v2csreprss","v2xcl_dmove","v2x_clpol","v2cldmovem","v2cldmovew","v2x_civlib","v2mecenefi","v2mecenefm","v2peedueq","v2caassemb","p_polity2","lngdp","lnpop","wdi_fdiin","wdi_import","wdi_export","aid_crsc","aid_crsio","aid_crnc","aid_crnio","ht_region","wdi_trade","wdi_eneimp","wdi_debt","dr_eg","dr_sg","dr_ig","atop_number","oecd_tiva_t1","fi_ftradeint_pd","ht_colonial","lengthofcampaign","lnlengthofcam","success3","lnnum_image_sum","lnaid","goals","eng_prob_general","nonviolent_camp","colonized","colonized_english"
"Anti-right wing government","Poland",544,290,"POL",2016,2019,"Law and Justice Party","0","0","1",1,"0",1,0,1,0,0,643,1758,288,1,1.8205,1.966,97.5,0.84025,0.7905,0.7875,1.12375,1.662,0.86275,1.602,0.3515,2.5245,1.377,10,9.54677703711393,17.4523407609747,2.9897924507067,49.1732502403245,52.0668421356557,NA,NA,NA,NA,"1",101.24009237598,NA,NA,73.1693820953369,78.0915088653564,80.7067127227783,22,NA,8.02848840006545,0,3,1.38629436111989,"0",6.46614472423762,NA,"REGCHANGE",0.16382252559727,"1",0,0
"Catalan separatist protest","Spain",545,230,"ESP",2016,2019,"Spanish Government","0","0","1",1,"0",1,0,0,1,0,2510,5800,451,1,1.852,2.01,99.08675,2.12275,0.946,0.9305,2.406,2.642,0.94925,1.94475,2.08375,1.974,2.5405,10,10.2181289343958,17.6603776946537,2.97261174704321,31.4501969606681,34.7612466061711,NA,NA,NA,NA,"5",66.2114435668392,NA,105.011480927152,77.0436897277832,83.9006290435791,85.4592342376709,17,NA,8.39215721115181,0,3,1.38629436111989,"0",7.82803803212583,NA,"SECESSION",0.0777586206896552,"1",0,0
"Civil Movement for Democracy","Thailand",308,800,"THA",2013,2014,"Yingluck government","1","0","0",0,"0",1,0,1,0,0,263,646,72,1,1.674,1.789,95.857,-0.573,0.863,0.386,1.795,1.8255,0.498,-1.266,-1.6925,0.545,0.0635,7,8.62150324585745,18.0607114151963,2.50636025985491,63.9012466921503,67.7826381171831,259915984,123282928,24,11,"7",131.683884809334,42.0206673617785,38.279252306546,65.3045768737793,68.2297859191895,70.7966194152832,5,NA,6.51446613784722,0,1,0.693147180559945,"2",5.57215403217776,19.7640647674181,"REGCHANGE",0.111455108359133,"1",0,0
"Colectiv Revolution","Romania",537,360,"ROU",2015,2015,"Romanian Government","1","0","0",0,"0",1,0,1,0,0,126,254,26,1,1.933,2.08,99.636,2.712,0.879,0.905,1.631,2.076,0.921,2.125,1.642,0.967,2.179,9,9.10240772174516,16.8019808716834,2.42729525022995,42.1716790383073,41.3494837368548,NA,NA,NA,NA,"1",83.5211627751621,NA,45.1699152164162,70.837760925293,76.1236953735352,79.1127319335938,24,NA,8.79534734617517,0,0,0,"2",4.83628190695148,NA,"REGCHANGE",0.102362204724409,"1",0,0
"Colorful Revolution","Macedonia",373,343,"MKD",2015,2017,"Macedonian Government","1","0","0",0,"0",1,0,1,0,0,634,1006,83,1,0.600666666666667,1.19066666666667,96.266,1.018,0.777,0.694666666666667,1.45966666666667,1.17966666666667,0.729333333333333,1.02366666666667,0.04,0.868333333333333,1.56233333333333,9,8.51049112747092,14.5442208091126,3.820616624668,66.4911915932352,51.515853804571,NA,NA,NA,NA,"1",118.007045397806,NA,NA,69.5215810139974,68.2402496337891,69.2689895629883,5.33333333333333,NA,7.80905292549017,0,2,1.09861228866811,"2",6.45204895443723,NA,"REGCHANGE",0.0825049701789264,"1",0,0
"Dance with me Campaign","Bulgaria",290,355,"BGR",2013,2014,"Gov't of PM Oresharski","1","0","0",0,"0",1,0,1,0,0,47,101,12,1,1.888,1.682,99.909,1.44,0.849,0.8205,1.678,1.691,0.867,1.704,0.9555,0.9105,1.93,9,8.81656709266746,15.7957567761836,2.73989013239314,65.4186832657314,64.5912914759058,NA,NA,NA,NA,"1",130.009974741637,36.8467287883338,27.2788534786711,75.111213684082,77.3271331787109,79.2625274658203,28,NA,8.33146096707638,0,1,0.693147180559945,"2",3.85014760171006,NA,"REGCHANGE",0.118811881188119,"1",0,0
"Day of Rage Protests","Iraq",511,645,"IRQ",2011,2011,"Prime Minister Nouri al-Maliki and Several government ministeries","0","1","0",0,"0",1,0,1,0,0,104,236,24,1,-1.002,-0.732,67.615,1.154,0.429,0.585,0.942,-0.959,0.485,0.106,0.531,-0.308,-0.632,3,8.29481252708542,17.2929916217771,1.12086339764167,27.7538051840835,44.4175230392819,1491123072,297043776,23,6,"3",72.1713282233655,-244.64882561357,NA,40.508960723877,35.1953620910645,41.9458656311035,3,NA,NA,5,0,0,"1",4.64439089914137,21.3044568253396,"REGCHANGE",0.101694915254237,"1",1,1
"Djibouti Arab Spring","Djibouti",260,522,"DJI",2011,2011,"Gov't of Djibouti (President Guelleh)","0","0","1",0,"0",1,0,1,0,0,101,248,26,1,1.452,1.077,92.583,0.285,0.63,0.377,1.07,0.364,0.429,-1.764,-1.619,-0.32,-0.735,2,NA,13.7502368332975,6.37538483893526,NA,NA,93828304,38457152,14,9,"4",NA,NA,NA,57.1225624084473,49.2426605224609,51.9249000549316,5,NA,NA,6,0,0,"0",4.61512051684126,18.7004726986288,"REGCHANGE",0.104838709677419,"1",1,0
"Euromaidan","Ukraine",314,369,"UKR",2013,2014,"President Yanukovych","1","0","0",0,"0",1,0,1,0,0,1212,1892,105,1,0.707,0.708,87.875,0.727,0.8465,0.702,1.4315,2.0125,0.673,0.995,0.2155,1.7305,0.2595,6,7.78587075883053,17.6306019026982,1.50069230904398,51.6015537253401,45.745172241561,336810080,2022286336,26,10,"1",97.3467259669011,26.4391831086308,49.6483593874347,61.5280513763428,71.4350280761719,73.0640869140625,35,NA,6.11107922699102,0,1,0.693147180559945,"2",7.10002716662926,21.5815445085164,"REGCHANGE",0.0554968287526427,"1",0,0
"Frente Nacionalæde Resistencia Popular (FNRP)","Honduras",266,91,"HND",2009,2009,"Coup government, led by Roberto Micheletti","0","0","1",0,"0",1,0,1,0,0,21,56,10,1,0.266,0.728,86.111,0.491,0.695,0.678,0.89,1.01,0.653,0.76,0.85,-1.182,0.949,7,7.62773024057533,15.9290276278517,3.38987200238322,57.3747551991386,39.5302508197518,223163616,149067456,22,9,"2",96.9050060188904,50.7136525011662,NA,56.5560684204102,59.2605781555176,59.6542549133301,4,NA,7.45759917450966,2,0,0,"0",3.04452243772342,19.7350253833734,"REGCHANGE",0.178571428571429,"1",1,0
"Green Revolution and Day of Rage","Iran",333,630,"IRN",2009,2013,"Government","0","1","0",0,"0",1,0,1,0,0,224,531,44,1,1.449,1.716,91.2194,-1.707,0.4498,0.13,1.071,-0.9436,0.2058,-1.8482,-1.9776,0.787,-1.292,-7,8.56381277029964,18.1510295078796,0.698371418726287,20.0326081730426,23.9405324976727,103314688,80164311.8,20.8,6.4,"3",43.9731406707154,-53.8215859567653,NA,30.0301425933838,50.3080154418945,52.4026893615723,1,NA,4.43631091960317,0,4,1.6094379124341,"1",5.41164605185504,19.0276107818533,"REGCHANGE",0.0828625235404896,"1",0,0
"Guatemala Uprising","Guatemala",370,90,"GTM",2015,2015,"Perez government","1","0","0",0,"0",1,0,1,0,0,790,3452,505,1,1.191,1.245,90.938,1.464,0.719,0.811,1.411,0.689,0.723,1.686,1.067,-1.156,1.689,8,8.2927079686845,16.5606907625676,1.93508421445702,30.0635456298848,19.8299076925978,NA,NA,NA,NA,"2",49.8934533224826,NA,24.9201770937784,51.1009063720703,57.3778038024902,61.9170379638672,4,NA,8.49562283988978,2,0,0,"2",6.67203294546107,NA,"REGCHANGE",0.146292004634994,"1",1,0
"Hernández Must Go campaign","Honduras",570,91,"HND",2019,2019,"Hernández govt","0","0","1",0,"0",1,0,1,0,0,113,230,17,1,0.509,0.728,86.333,1.542,0.81,0.794,1.701,1.249,0.782,1.361,0.539,-1.623,2.064,7,7.80225236926516,16.1139700523677,3.80668065182598,58.1090770358375,39.9185126725089,NA,NA,NA,NA,"2",98.0275897083463,NA,NA,54.5149269104004,60.4412994384766,60.3548164367676,NA,NA,6.84137214586677,2,0,0,"0",4.72738781871234,NA,"REGCHANGE",0.0739130434782609,"1",1,0
"Honduran indignados","Honduras",532,91,"HND",2015,2015,"Hernandez government","0","0","1",0,"0",1,0,1,0,0,116,254,26,1,0.509,0.728,88.143,0.91,0.81,0.755,1.701,1.249,0.756,1.361,0.942,-1.478,2.067,7,7.72189044818312,16.0449339232817,6.27595043384682,62.097647897982,45.1667574562581,NA,NA,NA,NA,"2",107.26440535424,NA,NA,56.271167755127,59.6697158813477,60.8854942321777,4,NA,6.99022953872424,2,0,0,"0",4.75359019110636,NA,"REGCHANGE",0.102362204724409,"1",1,0
"Hong Kong pro-democracy (Umbrella Movement)","China",523,710,"CHN",2014,2019,"Government of Hong Kong (Chief Executive Leung)","0","0","1",1,"0",1,0,1,0,1,3782,8584,964,1,2.239,2.427,96.8806666666667,-1.179,0.2665,0.0805,-0.748333333333333,-0.521166666666667,0.2385,-1.9935,-1.83916666666667,-0.3375,-1.964,-7,9.0842784474228,21.0533163076197,1.77680232504869,18.4481999999129,20.2771489473348,NA,NA,NA,NA,"6",38.7253489472477,15.0218007401139,NA,44.8828303019206,58.0566349029541,64.1959800720215,34.8,NA,6.4763850322391,0,5,1.79175946922805,"0",8.2380082492184,NA,"REGCHANGE",0.112301957129543,"1",0,0
"ISIS-Afghanistan","Afghanistan",436,700,"AFG",2015,2019,"Gov't of Afghanistan/Go'vt of US","0","0","1",1,"1",0,0,1,0,0,1677,3588,556,1,-0.245,-0.0266,53.1938,0.8528,0.4146,0.6436,0.6258,-0.763,0.506,0.1162,0.6756,-0.9182,0.843,-1,6.37509552224148,17.3906019004511,0.482032195594122,NA,NA,NA,NA,NA,NA,"8",NA,NA,NA,31.7242946624756,36.2121643066406,38.0845413208008,1,NA,NA,0,4,1.6094379124341,"0",7.42476176182321,NA,"REGCHANGE",0.154960981047938,"0",0,0
"Islamic State","Syria",356,652,"SYR",2013,2019,"Syrian government","0","0","1",1,"1",0,0,1,0,0,1972,4394,812,1,-1.92185714285714,-1.866,54.901,-2.36557142857143,0.116571428571429,0.0401428571428571,-1.303,-1.57385714285714,0.0665714285714286,-2.72442857142857,-3.021,-1.41242857142857,-2.949,-9,6.72106985173493,16.7979590630731,NA,38.9779247434362,14.004538695198,1727367680,603934528,29,10,"3",52.9824634386342,42.7811657063675,NA,33.152067729405,48.92926297869,46.4952463422503,3,NA,4.08251146232116,6,6,1.94591014905531,"0",7.58680353516258,21.5696928363871,"REGCHANGE",0.18479745106964,"0",1,0
"Islamist militia factions (Second Libyan Civil War)","Libya",301,620,"LBY",2014,2019,"General National Congress government","0","0","1",1,"1",0,0,1,0,0,486,822,142,1,-0.867,-0.0481666666666667,46.3231666666667,1.1595,0.310833333333333,0.617,-0.2395,-0.660333333333333,0.354166666666667,0.7025,1.1675,0.411,0.1125,0,9.09393509865333,15.6612671670596,0.000240665871503735,30.8982889301125,29.781576681903,NA,NA,NA,NA,"3",60.6798656120155,-102.964112042919,NA,48.9060306549072,49.0561370849609,53.4353141784668,6,NA,2.02096723233485,3,5,1.79175946922805,"0",6.18620862390049,NA,"REGCHANGE",0.172749391727494,"0",1,0
"Kirti Monastery Protests","China",513,710,"CHN",2012,2012,"Government of China","0","0","1",0,"0",1,0,0,1,0,65,96,12,1,2.239,2.427,97.2,-0.837,0.247,0.167,-0.88,-0.558,0.282,-1.996,-1.055,-0.243,-1.964,-7,8.79355910459518,21.0264693265549,2.82709055579985,22.7750001428849,25.4925222244964,1848459648,1295612416,26,10,"6",48.2675223673812,14.3597403782927,NA,44.5724029541016,54.4482536315918,62.6315879821777,32,NA,6.29850376263074,0,0,0,"0",4.17438726989564,21.8687846326883,"SECESSION",0.125,"1",0,0
"Kosovo Anti-Governmant Protests","Kosovo",533,347,"XKX",2015,2019,"Kosovo Government","0","0","1",1,"0",1,0,1,0,0,788,2118,230,1,0.296,1.0244,87.5666,1.3478,0.648,0.8744,0.629,0.924,0.802,1.4612,2.1408,1.3284,1.494,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,1.6094379124341,"0",6.66949808985788,NA,"REGCHANGE",0.108593012275732,"1",0,0
"Let's Save Togo (Anti-Gnassingbe)","Togo",309,461,"TGO",2012,2013,"President Faure Gnassingbe Regime","0","0","1",0,"0",1,0,1,0,0,64,98,10,1,0.787,0.957,85.5,1.3935,0.866,0.789,1.421,2.207,0.677,-0.976,1.086,1.9095,1.883,-2,6.24721926300957,15.7637653846848,3.69275313065542,62.7452232694635,45.8406924779783,114544188,208934560,20.5,14.5,"4",108.585915747442,19.8756834976909,NA,56.7243633270264,38.8864479064941,52.8787536621094,5,NA,5.70753156482128,6,1,0.693147180559945,"0",4.15888308335967,19.5946439788665,"REGCHANGE",0.102040816326531,"1",1,0
"Libyan Civil War","Libya",270,620,"LBY",2011,2011,"Qaddafi regime","1","0","0",0,"1",0,0,1,0,0,687,1281,161,1,-0.011,0.729,65.981,0.593,0.332,0.507,-0.016,-0.724,0.314,-0.63,-0.285,0.436,-1.09,0,8.81496525349984,15.6381438220571,0,24.8595388907261,38.1458963988027,330040640,48820356,24,5,"3",63.0054352895288,-138.440853969408,NA,49.9027481079102,47.1648025512695,52.6240158081055,7,NA,NA,3,0,0,"2",6.53233429222235,19.7526799332399,"REGCHANGE",0.12568306010929,"0",1,0
"M23","Democratic Republic of Congo",294,490,"COD",2012,2013,"Congo government","0","0","1",0,"1",0,0,1,0,0,534,627,43,1,0.973,0.196,75.216,-0.648,0.4875,0.5665,0.14,0.2685,0.439,-1.558,-0.36,-0.6,-0.028,5,6.06569304749166,18.0953514307235,7.53074013443189,39.2843931082566,33.6244351636525,1396916224,1104234208,23,15.5,"4",72.908828271909,-0.661202843529117,NA,36.2987823486328,29.8996610641479,44.2049198150635,7,NA,5.69436534834078,8,1,0.693147180559945,"0",6.2803958389602,21.6400166361733,"REGCHANGE",0.0685805422647528,"0",1,0
"Maoist Anti-Govt Protests","Nepal",274,790,"NPL",2010,2010,"Madhav Kumar Nepal Govt","1","0","0",0,"0",1,0,1,0,0,72,121,11,1,1.203,0.821,89.538,2.019,0.769,0.907,1.365,1.181,0.833,0.988,2.525,-0.805,0.885,6,6.58762591033855,17.1173135541304,0.548294665887946,36.4023696022884,9.58253617198229,524467136,913935744,25,13,"8",45.9849057742707,13.0671701693651,33.8625212320188,26.4794101715088,41.0064163208008,43.1522560119629,1,NA,6.22443129429205,0,0,0,"2",4.27666611901606,21.0867992245995,"REGCHANGE",0.0909090909090909,"1",0,0
"Moldovan ""Grapevine"" Revolution","Moldova",509,359,"MDA",2009,2009,"Communist Government","1","0","0",0,"0",1,0,1,0,0,20,46,7,1,0.518,1.084,77.909,0.568,0.882,0.672,1.692,2.1,0.705,0.039,0.222,1.358,0.508,9,7.65098271285535,14.8681532509172,4.85272145600077,73.4912043317434,36.8721225187512,90512000,154822480,25,11,"1",110.363326850495,95.9413394404509,27.6322264363496,63.8340034484863,61.1907577514648,63.0008659362793,16,NA,6.54917773937749,0,0,0,"2",2.99573227355399,19.3181330660032,"REGCHANGE",0.152173913043478,"1",0,0
"Moldovan Anti-Government Protest","Moldova",534,359,"MDA",2015,2016,"Moldovan Government","0","1","0",0,"0",1,0,1,0,0,502,854,75,1,0.518,1.229,77.455,1.154,0.877,0.756,1.644,2.07,0.81,0.92,0.44,1.2475,1.4655,9,7.94020953992203,14.8520992049772,1.9997819949364,56.3816357264894,32.1022835647559,NA,NA,NA,NA,"1",88.4839192912453,NA,27.6785276599256,65.2177238464355,70.2161254882812,67.9393310546875,16,NA,7.19036632488996,0,1,0.693147180559945,"1",6.21860011969173,NA,"REGCHANGE",0.0878220140515222,"1",0,0
"Montenegrin Opposition Protest","Montenegro",535,341,"MNE",2015,2015,"Montenegrin Government","0","0","1",0,"0",1,0,1,0,0,79,114,11,1,1.805,2.031,100,0.924,0.904,0.789,2.063,2.062,0.857,1.518,0.396,2.493,2.123,9,8.78219455285809,13.3409509660639,17.2603055675377,60.5709052261971,42.1180721256354,NA,NA,NA,NA,"1",102.688977351832,NA,NA,75.7000350952148,78.6426773071289,69.7685394287109,2,NA,8.32542610402921,0,0,0,"0",4.36944785246702,NA,"REGCHANGE",0.0964912280701754,"1",0,0
"Nasheed Supporters","Maldives",303,781,"MDV",2012,2013,"President Mohammed Waheed Hassan Government","0","0","1",0,"0",1,0,1,0,0,612,936,108,1,1.849,1.089,97.85,0.4605,0.614,0.6365,1.646,-0.35,0.5795,-0.1695,0.208,0.7445,-0.6405,NA,9.11810049961314,12.8844449633766,9.4246607844941,NA,NA,14807654.5,52249774,13,9,"8",NA,NA,NA,64.5147094726562,62.0459442138672,46.6233234405518,1,NA,NA,5,1,0.693147180559945,"0",6.41673228251233,18.0210599669226,"REGCHANGE",0.115384615384615,"1",1,1
"New Democracy Movement","Thailand",429,800,"THA",2014,2019,"Thai Military Regime","0","0","1",1,"0",1,0,1,0,0,1924,4605,575,1,1.57683333333333,1.789,96.0451666666667,-1.30383333333333,0.760833333333333,0.230833333333333,1.17316666666667,1.325,0.384,-1.13683333333333,-1.8255,0.530166666666667,-1.6555,-3,8.70065132505512,18.0739470407736,1.59792772183326,55.6003414093043,65.6866873517301,NA,NA,NA,NA,"7",121.287028761035,41.5681517414252,38.4473612953038,65.9876085917155,68.6851539611816,71.6677029927572,5,NA,6.79550278748502,0,5,1.79175946922805,"0",7.56216163122565,NA,"REGCHANGE",0.12486427795874,"1",0,0
"Northern Mali conflict","Mali",328,432,"MLI",2012,2015,"Mailian government","0","1","0",0,"1",0,0,0,1,0,618,1103,152,1,0.615,0.52925,73.49425,1.343,0.773,0.8675,1.3815,1.1985,0.804,0.45725,1.93375,-1.35,0.724,5,6.54638512090003,16.6659777389256,2.15733807899653,37.2051317159137,24.8490189335669,729370592,821836192,24.5,15,"4",62.0541506494807,NA,NA,38.9681901931763,38.3482780456543,48.2678756713867,4,NA,6.35376825114527,6,3,1.38629436111989,"1",6.42648845745769,21.1622990359162,"SECESSION",0.13780598368087,"0",1,0
"October Revolution","Lebanon",573,660,"LBN",2019,2019,"Hariri govt","1","0","0",0,"0",1,0,1,0,0,769,1359,117,1,-0.558,-0.343,75.9,0.832,0.47,0.694,0.466,-0.215,0.684,0.726,0.484,0.144,1.647,6,8.99541486857395,15.5702441170292,3.95463228905626,42.0001078758814,20.559205356527,NA,NA,NA,NA,"3",62.5593132324084,NA,NA,69.191520690918,67.2417373657227,67.9147567749023,NA,NA,5.9060248635114,6,0,0,"2",6.64509096950564,NA,"REGCHANGE",0.0860927152317881,"1",1,0
"Out Correa Campaign","Ecuador",531,130,"ECU",2015,2017,"Correa government","0","1","0",0,"0",1,0,1,0,0,306,595,52,1,1.554,1.97,96.455,-0.601,0.898,0.672333333333333,1.69,2.328,0.817666666666667,-0.974,-0.046,0.738,1.603,5,8.7055538795684,16.6154799636844,0.900130754511464,21.5303694465839,20.5319435119105,NA,NA,NA,NA,"2",42.0623129584944,NA,NA,36.9469045003255,63.4972267150879,59.2082405090332,3.66666666666667,NA,6.8042542310828,2,2,1.09861228866811,"1",5.72358510195238,NA,"REGCHANGE",0.0873949579831933,"1",1,0
"Panama Papers Anti-Government Protest","Iceland",541,395,"ISL",2016,2016,"Icelandic Government, PM Gunnlaugsson","0","1","0",0,"0",1,0,1,0,0,203,479,78,1,1.531,2.091,99.923,2.905,0.94,0.943,2.35,2.546,0.952,2.008,2.082,3.35,2.333,10,10.9243840767647,12.7231954006811,-5.12806396736361,40.8489873405107,47.4840362948306,NA,NA,NA,NA,"5",88.3330236353413,NA,103.362423152956,70.8903503417969,85.2456130981445,71.9287261962891,2,NA,7.16615574650665,0,0,0,"1",5.31320597904179,NA,"REGCHANGE",0.162839248434238,"1",0,0
"Pro-Morsi Protests","Egypt",295,651,"EGY",2013,2014,"President Morsi","0","0","1",0,"0",1,0,1,0,0,1635,2705,257,1,1.393,0.855,86.7725,-1.1565,0.4715,0.182,0.653,-0.374,0.1955,-1.1515,-1.799,-1.4505,-2.715,-4,8.09939410607658,18.3639527821605,1.48134231511624,23.0156243848817,15.630988539998,6917741568,1746383360,27,15,"3",38.6466129248796,-7.14159223106557,NA,43.9246978759766,62.561731338501,65.7597274780273,4,NA,5.73709481765796,5,1,0.693147180559945,"0",7.39939808333135,22.8824567658625,"REGCHANGE",0.0950092421441775,"1",1,1
"Pro-Ouattara Campaign","Ivory Coast",293,437,"CIV",2010,2011,"Gbagbo Regime","1","0","0",0,"0",1,0,1,0,0,151,241,30,1,0.9855,0.998,75.5835,1.564,0.731,0.7735,0.7205,1.486,0.7095,1.603,0.244,-1.176,0.3835,0,7.3653881190997,16.8761630610459,0.924508351337358,31.7039461002235,34.3904754719078,635929152,563539072,24,13,"4",66.0944215721314,-7.65808027211241,NA,42.5110492706299,36.5403251647949,49.172981262207,4,NA,5.91696829335291,6,1,0.693147180559945,"2",5.01727983681492,20.9051441496889,"REGCHANGE",0.12448132780083,"1",1,0
"Protest for Constitutional Reform","Jordan",320,663,"JOR",2011,2013,"Government (Prime Minister Samir Rifai)","0","1","0",0,"0",1,0,1,0,0,254,697,74,1,0.979666666666667,1.25433333333333,97.7496666666667,0.246333333333333,0.741666666666667,0.542,1.49533333333333,0.807333333333333,0.648333333333333,0.049,-0.868666666666667,1.11166666666667,0.255666666666667,-3,8.48510027720795,15.808697572535,5.19264576522495,71.6448761714397,44.3573888582813,2214882474.66667,478093877.333333,24.6666666666667,9.66666666666667,"3",116.002265029721,96.392687649767,66.4987327044946,72.0148773193359,67.3330535888672,73.1436487833659,3,NA,8.23418664800247,5,2,1.09861228866811,"1",5.53733426701854,21.7139128698238,"REGCHANGE",0.106169296987088,"1",1,1
"Protests Against the Crisis Talks","Tunisia",312,616,"TUN",2013,2013,"Council negotiating end to political crisis","1","0","0",0,"0",1,0,1,0,0,79,207,20,1,1.544,1.948,93.154,2.226,0.88,0.879,2.207,1.57,0.768,1.071,1.533,0.785,1.85,6,8.26671257263108,16.2403384161101,2.17446901947763,54.06519598671,44.8896426169321,988729920,549661568,27,12,"3",98.9548386036421,29.9222996096397,NA,55.9381828308105,64.0320205688477,67.4036407470703,7,NA,6.57711580316094,6,0,0,"2",4.36944785246702,21.1540032198522,"REGCHANGE",0.0966183574879227,"1",1,0
"Rebels in East Ukraine (Ukrainian Civil War)","Ukraine",315,369,"UKR",2014,2019,"Ukraine government","0","0","1",1,"1",0,0,0,1,0,2613,3351,347,1,0.4765,0.546166666666667,81.3333333333333,1.44083333333333,0.829333333333333,0.684833333333333,1.298,1.8995,0.664,0.223333333333333,0.334666666666667,1.29416666666667,1.20033333333333,4,7.7308750419589,17.6194683563151,2.61485764106972,53.7807553195498,47.5135173419909,NA,NA,NA,NA,"1",101.294272661541,27.2085082165267,62.9502615069003,63.815668741862,70.3354695638021,74.0618565877279,35,NA,6.41192313466088,0,5,1.79175946922805,"0",7.86825426552061,NA,"SECESSION",0.103551178752611,"0",0,0
"Renewed Kurdistan Worker's Party (PKK)","Turkey",539,640,"TUR",2015,2019,"Turkish government","0","0","1",1,"1",0,0,0,1,0,517,1121,99,1,1.453,1.8334,93.1028,-1.555,0.672,0.2994,0.9562,0.7914,0.384,-1.2106,-1.0512,0.2842,-1.6764,-4,9.34912125568627,18.2199012083451,1.59764654264444,28.617541709348,27.4668576948227,NA,NA,NA,NA,"3",56.0843994041707,75.2078800411834,30.5068573920513,55.2248832702637,65.4638168334961,71.0021789550781,17,NA,7.10511254990141,0,4,1.6094379124341,"0",6.24804287450843,NA,"SECESSION",0.088314005352364,"0",0,0
"Renewed Western Sahara Independence Protests","Western Sahara",340,600,"MAR",2010,2019,"Moroccan Government","0","0","1",1,"0",1,1,0,0,0,900,1477,219,1,1.066,1.437,93.0874,-0.0958,0.5523,0.5822,1.3656,-0.496,0.6165,1.0649,-0.5302,-0.7577,0.441,-4,7.97801261682335,17.3544987202483,2.40708878096212,43.551953909667,32.603163579885,1674964912,2409255232,23,11.25,"3",76.155117489552,90.2310620111068,53.2951097795628,57.3221752166748,60.7597221374512,68.0415870666504,4.33333333333333,NA,6.5897233615299,6,9,2.30258509299405,"0",6.80239476332431,22.1303966400566,"FSELFDET",0.148273527420447,"1",1,0
"Romania anti-government protest","Romania",552,360,"ROU",2017,2019,"Government of Romania","0","0","1",1,"0",1,0,1,0,1,1439,2844,260,1,1.933,2.08,98.7616666666667,1.13133333333333,0.879,0.827,1.631,2.076,0.891666666666667,2.125,0.824333333333333,0.659,1.94466666666667,9,9.27915370612651,16.7848018802241,2.92835198040114,44.6845423662695,41.3587536332202,NA,NA,NA,NA,"1",86.0432959994897,NA,43.3648250534782,71.2720006306966,76.6281534830729,79.3968200683594,24,NA,8.80586505906249,0,2,1.09861228866811,"0",7.27170370688737,NA,"REGCHANGE",0.0914205344585091,"1",0,0
"Second Revolution","Kyrgyzstan",269,703,"KGZ",2010,2010,"Kyrgyz president Kurmanbek Bakiyev","1","0","0",0,"0",1,0,1,0,0,127,218,21,1,0.98,0.997,90,0.81,0.633,0.716,0.923,0.518,0.626,-0.523,0.202,0.773,-0.58,4,6.8733198572138,15.5107407712833,9.860930706632,81.6785278167149,51.5543226756177,214706224,429607904,23,14,"1",133.232850492333,53.8807015810743,NA,64.4019165039062,56.6911735534668,59.3140563964844,19,NA,6.75021616607895,0,0,0,"2",4.84418708645859,20.2836969430939,"REGCHANGE",0.0963302752293578,"1",0,0
"Sinai Insurgency","Egypt",319,651,"EGY",2013,2019,"Sisi Government","0","0","1",1,"1",0,0,1,0,0,630,965,103,1,1.64428571428571,1.34857142857143,89.1688571428571,-1.16785714285714,0.506285714285714,0.148428571428571,0.760142857142857,-0.231,0.183428571428571,-1.11728571428571,-1.95028571428571,-1.77585714285714,-2.67628571428571,-4,8.15317073056531,18.41728479137,2.41139349991717,24.5727034017487,15.2889023513699,6917741568,1746383360,27,15,"3",39.8616057531185,-7.14159223106557,NA,44.7322867257254,62.9097415379116,66.1944160461426,4.5,NA,5.81674722282786,5,6,1.94591014905531,"0",6.44571981938558,22.8824567658625,"REGCHANGE",0.106735751295337,"0",1,1
"Smile Revolution","Algeria",564,615,"DZA",2019,2019,"Abdelaziz Bouteflika's Government","1","0","0",0,"0",1,0,1,0,0,220,459,47,1,0.862,1.603,97,-0.651,0.785,0.452,1.601,1.108,0.587,-1.189,-1.068,1.417,0.752,2,8.33158740325931,17.5698351845832,0.804110686575591,29.0941082162686,22.7134619101122,NA,NA,NA,NA,"3",51.8075701263808,NA,NA,35.9364471435547,50.5053405761719,55.4355125427246,NA,NA,2.55221891889702,6,0,0,"2",5.39362754635236,NA,"REGCHANGE",0.10239651416122,"1",1,0
"Snow Revolution","Russia",335,365,"RUS",2010,2019,"Putin","0","0","1",1,"0",1,0,1,0,0,1155,2176,314,1,1.973,2.077,98.6527,-0.2632,0.7924,0.3943,1.2885,1.5104,0.4927,0.0188,-1.1326,1.0952,-0.7446,4,9.15161146314623,18.7840444874119,1.91870343796058,20.618431610108,27.7010117363915,28220,374912224,1,2,"1",48.3194433464995,-82.2438866402471,12.4110820001034,51.8256771087647,69.8073753356934,71.2262680053711,54.6666666666667,13.41,6.56711453389308,0,9,2.30258509299405,"0",7.05185562295589,19.7422777579892,"REGCHANGE",0.144301470588235,"1",0,0
