"CAMPAIGN","LOCATION","ID","cow","iso3","BYEAR","EYEAR","target","success","limited","failure","ongoing","viol","NONVIOL","FSELFDET","REGCHANGE","SECESSION","OTHER","Num_Image_sum","Num_Banner_sum","Eng_Banner_sum","v2svindep","v2svdomaut","v2svinlaut","v2svstterr","v2csreprss","v2xcl_dmove","v2x_clpol","v2cldmovem","v2cldmovew","v2x_civlib","v2mecenefi","v2mecenefm","v2peedueq","v2caassemb","p_polity2","lngdp","lnpop","wdi_fdiin","wdi_import","wdi_export","aid_crsc","aid_crsio","aid_crnc","aid_crnio","ht_region","wdi_trade","wdi_eneimp","wdi_debt","dr_eg","dr_sg","dr_ig","atop_number","oecd_tiva_t1","fi_ftradeint_pd","ht_colonial","lengthofcampaign","lnlengthofcam","success3","lnnum_image_sum","lnaid","goals","eng_prob_general","nonviolent_camp","colonized","colonized_english"
"Al Qaeda in the Arabian Peninsula","Yemen",341,679,"YEM",2009,2019,"Yemen government","0","0","1",1,"1",0,0,1,0,0,2132,4108,504,1,-0.876818181818182,-0.770545454545455,57.5159090909091,-0.527727272727273,0.147454545454545,0.379636363636364,-0.974181818181818,-1.68418181818182,0.281909090909091,-1.20318181818182,-1.18781818181818,-1.57136363636364,-0.514363636363636,0,7.5399434908902,17.1391459317641,-0.550647361907842,38.3349823313974,18.6786280809484,678304793.6,576140051.2,23.4,13,"3",57.0136104123458,-135.979768601471,NA,46.399827783758,37.3543829484419,49.551382931796,3,NA,6.70930201316151,5,10,2.39789527279837,"0",7.66481578528574,20.9499589577186,"REGCHANGE",0.122687439143135,"0",1,1
"Albanian anti-corruption","Albania",563,339,"ALB",2019,2019,"Rama government","0","0","1",1,"0",1,0,1,0,0,187,355,43,1,1.761,1.236,97.143,1.682,0.936,0.809,2.319,2.447,0.893,1.464,-0.037,1.344,1.854,9,8.42142794252469,14.8642989983956,7.7979181413124,44.9749244902205,31.3042701298034,NA,NA,NA,NA,"1",76.2791946200238,NA,75.6984882494976,68.4939422607422,67.0027542114258,66.0981521606445,NA,NA,8.23091099213713,0,0,0,"0",5.23110861685459,NA,"REGCHANGE",0.12112676056338,"1",0,0
"Anti Ali Adduallah Saleh Campaign","Yemen",316,679,"YEM",2011,2012,"Government (Saleh Regime)","1","0","0",0,"0",1,0,1,0,0,529,1279,88,1,-0.167,-0.2415,65.3075,0.0185,0.239,0.583,-0.4205,-1.093,0.439,-0.4595,-0.6525,-1.3125,-0.1225,-2,7.67515433585745,17.0678018357146,-0.811280680316516,34.6084770007131,27.6020705680232,459160336,481934336,22,13,"3",62.2105475687363,-163.511423797219,NA,51.6220626831055,37.1953411102295,51.7004146575928,3,NA,7.40279101043891,5,1,0.693147180559945,"2",6.2709884318583,20.6625543014156,"REGCHANGE",0.0688037529319781,"1",1,1
"Anti-Abdelaziz Bouteflika Campaign","Algeria",317,615,"DZA",2010,2012,"Abdelaziz Bouteflika's Government","0","1","0",0,"0",1,0,1,0,0,598,1294,109,1,1.539,1.511,89.1906666666667,-0.205,0.683,0.533,1.791,0.0456666666666667,0.602333333333333,0.348,-0.337,1.112,0.037,2,8.28794988501014,17.4142870246185,1.14339719625385,29.5409094643918,38.0410712667222,202039834.666667,111130232,21.3333333333333,6.33333333333333,"3",67.5819807311139,-245.654747183701,NA,41.5310503641764,48.3294448852539,56.3180923461914,9,NA,5.40361454867359,6,2,1.09861228866811,"1",6.39359075395063,19.5622569481226,"REGCHANGE",0.0842349304482226,"1",1,0
"Anti-Aziz Protests","Mauritania",339,435,"MRT",2011,2014,"Mohamed Ould Abdel Aziz Regime, Government run census","0","0","1",0,"0",1,0,1,0,0,75,159,13,1,1.421,1.546,90.07825,0.384,0.7865,0.74975,1.362,1.337,0.66375,1.264,1.1455,-2.0065,0.148,-2,7.30783219719056,15.1202216242738,13.1293217878438,55.4751707626912,45.3454912108967,249409328,290046581.333333,19,14.3333333333333,"4",100.820661973588,NA,NA,46.2322301864624,46.4121952056885,48.9434785842896,4,NA,6.10160775469659,6,3,1.38629436111989,"0",4.31748811353631,20.1060716161224,"REGCHANGE",0.0817610062893082,"1",1,0
"Anti-Ben Ali Campaign (Jasmin Revolution)","Tunisia",311,616,"TUN",2010,2011,"Government (Ben Ali Regime)","1","0","0",0,"0",1,0,1,0,0,354,871,97,1,1.431,1.294,90.107,0.0825,0.7635,0.536,1.511,1.2185,0.5435,-0.9025,0.2045,0.7265,-0.0215,-4,8.24212804970113,16.210109084279,1.89361535479134,53.1215033375623,47.0071912329558,672199264,1155658240,21,9.5,"3",100.128694570518,20.5830496250673,40.6233613734329,57.7394924163818,60.4663677215576,66.5908699035645,7,NA,5.95311102654457,6,1,0.693147180559945,"2",5.86929691313377,21.3264103556271,"REGCHANGE",0.111366245694604,"1",1,0
"Anti-Compaore Campaign","Burkina Faso",522,439,"BFA",2014,2014,"President Compaore","1","0","0",0,"0",1,0,1,0,0,75,109,11,1,0.729,0.624,85,2.65,0.892,0.899,1.961,1.983,0.816,0.645,1.407,-1.076,2.291,0,6.44035026828383,16.7152737446824,2.56255139217139,31.8915583395886,26.932004154154,NA,NA,NA,NA,"4",58.8235624937426,NA,NA,41.441722869873,38.687255859375,50.1081199645996,4,NA,6.1207329460884,6,0,0,"2",4.31748811353631,NA,"REGCHANGE",0.100917431192661,"1",1,0
"Anti-Erdogan","Turkey",520,640,"TUR",2013,2015,"Erdogan government","0","1","0",0,"0",1,0,1,0,0,2376,4926,564,1,1.595,1.983,95.7033333333333,-0.608666666666667,0.723333333333333,0.493,1.25566666666667,0.886,0.533333333333333,-0.857333333333333,-0.407333333333333,0.423,-0.836,3,9.25662670833433,18.1736472877917,1.68839740530017,27.9507716751424,24.5099428471321,912452736,7432960000,25,11,"3",52.4607145222744,74.1604489418109,30.8427086154461,55.5858840942383,66.8717244466146,71.3688074747721,17,NA,7.1288221119826,0,2,1.09861228866811,"1",7.77317368048254,22.8449778520343,"REGCHANGE",0.114494518879415,"1",0,0
"Anti-Erdogan II","Turkey",556,640,"TUR",2017,2019,"President Erdogan","0","0","1",1,"0",1,0,1,0,0,716,1797,198,1,1.556,1.796,92.875,-1.742,0.662333333333333,0.251666666666667,0.945,0.732666666666667,0.355,-1.14066666666667,-1.178,0.247,-1.84133333333333,-4,9.38062121266125,18.2318613780472,1.38958145767928,30.428588394041,29.906500668026,NA,NA,NA,NA,"3",60.335089062067,NA,31.1335575296213,55.4585227966309,64.8370768229167,70.9316584269206,17,NA,7.10232336066064,0,2,1.09861228866811,"0",6.57368016696065,NA,"REGCHANGE",0.110183639398998,"1",0,0
"Anti-Hernandez","Honduras",549,91,"HND",2017,2019,"Gov't of Honduras (Hernandez)","0","0","1",1,"0",1,0,1,0,0,456,869,96,1,0.509,0.728,87.9203333333333,1.24,0.81,0.779666666666667,1.701,1.249,0.766666666666667,1.361,0.604333333333333,-1.60566666666667,1.62766666666667,7,7.78920159610677,16.0971620984072,4.63548603379846,59.6415596441897,41.4890613569505,NA,NA,NA,NA,"2",101.13062100114,NA,NA,54.2293853759766,60.3937861124674,60.2368507385254,5,NA,6.85326309611032,2,2,1.09861228866811,"0",6.12249280951439,NA,"REGCHANGE",0.110471806674338,"1",1,0
