"model_id","moderator_label","eng","moderator_percentile","moderator_value","fit","lwr","upr"
"M1","CSO Repression",0,"10th",-1.4923,1.59279964336185,0.250943790605338,5.83699998577486
"M1","CSO Repression",0.00272855133614628,"10th",-1.4923,1.634189120096,0.270711434805973,5.89091177884824
"M1","CSO Repression",0.00545710267229256,"10th",-1.4923,1.67734018364234,0.293714216471634,5.94464505484302
"M1","CSO Repression",0.00818565400843884,"10th",-1.4923,1.72233690661476,0.317677700407982,5.94277356683031
"M1","CSO Repression",0.0109142053445851,"10th",-1.4923,1.76926799243444,0.343657633075561,5.92151550971164
"M1","CSO Repression",0.0136427566807314,"10th",-1.4923,1.81822705659374,0.371762225128405,5.90035871138938
"M1","CSO Repression",0.0163713080168777,"10th",-1.4923,1.86931292655048,0.401920252649141,5.9153944893283
"M1","CSO Repression",0.0190998593530239,"10th",-1.4923,1.92262996157963,0.43121533789963,5.97145331178272
"M1","CSO Repression",0.0218284106891702,"10th",-1.4923,1.97828839400986,0.461950146774735,6.07215052528507
"M1","CSO Repression",0.0245569620253165,"10th",-1.4923,2.03640469338114,0.496226973219805,6.01326014128874
"M1","CSO Repression",0.0272855133614628,"10th",-1.4923,2.09710195517715,0.532236580263281,6.01595324040093
"M1","CSO Repression",0.0300140646976091,"10th",-1.4923,2.16051031591292,0.581954571530354,6.00091971078359
"M1","CSO Repression",0.0327426160337553,"10th",-1.4923,2.22676739649585,0.625053694259615,5.98455299945639
"M1","CSO Repression",0.0354711673699016,"10th",-1.4923,2.29601877592597,0.670967755274347,6.03714215533226
"M1","CSO Repression",0.0381997187060479,"10th",-1.4923,2.36841849756252,0.720375732311498,6.10025909929246
"M1","CSO Repression",0.0409282700421942,"10th",-1.4923,2.44412961035694,0.773203572992328,6.15062545640467
"M1","CSO Repression",0.0436568213783405,"10th",-1.4923,2.52332474764079,0.829936551298449,6.17879108805089
"M1","CSO Repression",0.0463853727144867,"10th",-1.4923,2.60618674626029,0.892535038754379,6.20543499056864
"M1","CSO Repression",0.049113924050633,"10th",-1.4923,2.69290930906944,0.965872384065667,6.18145147412718
