"component","version"
"R","4.4.2"
"MASS","7.3.61"
"brglm2","0.9.2"
"dplyr","1.2.1"
"geepack","1.3.12"
"ggplot2","4.0.2"
"logistf","1.26.1"
"patchwork","1.3.2"
"png","0.1.8"
"sensemakr","0.1.6"
"survival","3.7.0"
"pdftoppm","pdftoppm version 26.03.0 Copyright 2005-2026 The Poppler Developers - http://poppler.freedesktop.org Copyright 1996-2011, 2022 Glyph & Cog, LLC"
