"spec","test","beta_eng_hat","beta_eng2_hat","magnitude","beta_eng_sim","beta_eng2_sim","n_reps","fit_ok_rate","alpha","raw_power_overall","holm_proxy_power_overall","raw_power_conditional","holm_proxy_power_conditional","raw_power","holm_proxy_power","failure_reason"
"M1","any_eng_effect_eng_eng2",-33.1673171227211,163.412537985835,0.5,-16.5836585613605,81.7062689929174,2000,0.9885,0.1,0.095,0.0115,0.0961052099140111,0.0116337885685382,0.095,0.0115,NA
"M1","p_eng2_single_coef",-33.1673171227211,163.412537985835,0.5,-16.5836585613605,81.7062689929174,2000,0.9895,0.05,0.071,0.0075,0.0717534108135422,0.00757958564931784,0.071,0.0075,NA
"M1","p_eng2_single_coef",-33.1673171227211,163.412537985835,0.5,-16.5836585613605,81.7062689929174,2000,0.9895,0.1,0.1485,0.0105,0.150075795856493,0.010611419909045,0.1485,0.0105,NA
"M1","any_eng_effect_eng_eng2",-33.1673171227211,163.412537985835,1,-33.1673171227211,163.412537985835,2000,1,0.05,0.282,0.0425,0.282,0.0425,0.282,0.0425,NA
"M1","any_eng_effect_eng_eng2",-33.1673171227211,163.412537985835,1,-33.1673171227211,163.412537985835,2000,1,0.1,0.4585,0.0765,0.4585,0.0765,0.4585,0.0765,NA
"M1","p_eng2_single_coef",-33.1673171227211,163.412537985835,1,-33.1673171227211,163.412537985835,2000,1,0.05,0.4095,0.0875,0.4095,0.0875,0.4095,0.0875,NA
"M1","p_eng2_single_coef",-33.1673171227211,163.412537985835,1,-33.1673171227211,163.412537985835,2000,1,0.1,0.568,0.1475,0.568,0.1475,0.568,0.1475,NA
"M1","any_eng_effect_eng_eng2",-33.1673171227211,163.412537985835,2,-66.3346342454422,326.82507597167,2000,1,0.05,1,0.999,1,0.999,1,0.999,NA
"M1","any_eng_effect_eng_eng2",-33.1673171227211,163.412537985835,2,-66.3346342454422,326.82507597167,2000,1,0.1,1,0.9995,1,0.9995,1,0.9995,NA
"M1","p_eng2_single_coef",-33.1673171227211,163.412537985835,2,-66.3346342454422,326.82507597167,2000,1,0.05,0.9995,0.9965,0.9995,0.9965,0.9995,0.9965,NA
"M1","p_eng2_single_coef",-33.1673171227211,163.412537985835,2,-66.3346342454422,326.82507597167,2000,1,0.1,1,0.998,1,0.998,1,0.998,NA
"M5","any_eng_effect_eng_eng2",83.2859382483252,-337.165563795714,0,0,0,2000,1,0.05,0,0,0,0,0,0,NA
"M5","any_eng_effect_eng_eng2",83.2859382483252,-337.165563795714,0,0,0,2000,1,0.1,0.0015,0,0.0015,0,0.0015,0,NA
"M5","p_eng2_single_coef",83.2859382483252,-337.165563795714,0,0,0,2000,1,0.05,0.001,0,0.001,0,0.001,0,NA
"M5","p_eng2_single_coef",83.2859382483252,-337.165563795714,0,0,0,2000,1,0.1,0.033,0,0.033,0,0.033,0,NA
"M5","any_eng_effect_eng_eng2",83.2859382483252,-337.165563795714,0.25,20.8214845620813,-84.2913909489285,2000,1,0.05,0,0,0,0,0,0,NA
"M5","any_eng_effect_eng_eng2",83.2859382483252,-337.165563795714,0.25,20.8214845620813,-84.2913909489285,2000,1,0.1,0.006,0,0.006,0,0.006,0,NA
"M5","p_eng2_single_coef",83.2859382483252,-337.165563795714,0.25,20.8214845620813,-84.2913909489285,2000,1,0.05,0.004,0,0.004,0,0.004,0,NA
"M5","p_eng2_single_coef",83.2859382483252,-337.165563795714,0.25,20.8214845620813,-84.2913909489285,2000,1,0.1,0.053,0,0.053,0,0.053,0,NA
"M5","any_eng_effect_eng_eng2",83.2859382483252,-337.165563795714,0.5,41.6429691241626,-168.582781897857,2000,1,0.05,0.0015,0,0.0015,0,0.0015,0,NA
"M5","any_eng_effect_eng_eng2",83.2859382483252,-337.165563795714,0.5,41.6429691241626,-168.582781897857,2000,1,0.1,0.014,0,0.014,0,0.014,0,NA
"M5","p_eng2_single_coef",83.2859382483252,-337.165563795714,0.5,41.6429691241626,-168.582781897857,2000,1,0.05,0.007,0,0.007,0,0.007,0,NA
"M5","p_eng2_single_coef",83.2859382483252,-337.165563795714,0.5,41.6429691241626,-168.582781897857,2000,1,0.1,0.0475,0,0.0475,0,0.0475,0,NA
"M5","any_eng_effect_eng_eng2",83.2859382483252,-337.165563795714,1,83.2859382483252,-337.165563795714,2000,1,0.05,0.0475,5e-04,0.0475,5e-04,0.0475,5e-04,NA
"M5","any_eng_effect_eng_eng2",83.2859382483252,-337.165563795714,1,83.2859382483252,-337.165563795714,2000,1,0.1,0.1855,0.0015,0.1855,0.0015,0.1855,0.0015,NA
"M5","p_eng2_single_coef",83.2859382483252,-337.165563795714,1,83.2859382483252,-337.165563795714,2000,1,0.05,0.114,0,0.114,0,0.114,0,NA
"M5","p_eng2_single_coef",83.2859382483252,-337.165563795714,1,83.2859382483252,-337.165563795714,2000,1,0.1,0.3325,0,0.3325,0,0.3325,0,NA
"M5","any_eng_effect_eng_eng2",83.2859382483252,-337.165563795714,2,166.57187649665,-674.331127591428,2000,1,0.05,0.5125,0,0.5125,0,0.5125,0,NA
"M5","any_eng_effect_eng_eng2",83.2859382483252,-337.165563795714,2,166.57187649665,-674.331127591428,2000,1,0.1,0.769,0.011,0.769,0.011,0.769,0.011,NA
"M5","p_eng2_single_coef",83.2859382483252,-337.165563795714,2,166.57187649665,-674.331127591428,2000,1,0.05,0.7265,0.007,0.7265,0.007,0.7265,0.007,NA
"M5","p_eng2_single_coef",83.2859382483252,-337.165563795714,2,166.57187649665,-674.331127591428,2000,1,0.1,0.858,0.167,0.858,0.167,0.858,0.167,NA
