"model","estimator","data","response","moderator","beta_eng_c","p_eng_c","beta_mod_c","p_mod_c","beta_int","p_int","joint_wald_p","expected_int_sign","sign_consistent","N","n_events","epv","sig_05_int","sig_10_int","main_panel","epv_warning","p_int_holm","p_int_bh","joint_wald_holm","joint_wald_bh","sig_05_int_holm","sig_10_int_holm","sig_05_int_bh","sig_10_int_bh","robustness_row","ph_global_p","ph_int_p","ph_focal_p","ph_flag","cox_estimand","interpretation_note"
"M7","Cox PH","NAVCO 2.1","Hazard of first concession (CY)","domaut_c",21.4165202148293,0.0446194540948282,-1.39219335735129,0.000246953182385284,22.0618800655233,0.0220766948276587,0.0532961787671249,"-",FALSE,59,13,1.85714285714286,TRUE,TRUE,TRUE,TRUE,0.17661355862127,NA,0.426369430136999,NA,FALSE,FALSE,FALSE,FALSE,FALSE,0.793136998297842,0.462501889191783,0.462501889191783,"","first_concession",""
"M7s","Cox PH","NAVCO 2.1","Hazard of success (CY, strict)","domaut_c",16.2203685423759,0.304343748347281,-1.29676784267599,0.00316365604996081,1.00009958515922,0.885130605867206,0.5660879466355,"-",FALSE,65,8,1.14285714285714,FALSE,FALSE,FALSE,TRUE,NA,0.999526048676777,NA,0.813026203137819,FALSE,FALSE,FALSE,FALSE,FALSE,0.883789503353698,0.686815608951168,0.686815608951168,"","strict_success",""
"M8","Cox PH","NAVCO 2.1","Hazard of first concession (CY)","stterr_c",16.0637743052591,0.0240838823048271,-0.0478002938164231,0.018115199634497,0.810652523551719,0.149078139908558,0.0753209452003958,"-",FALSE,59,13,1.85714285714286,FALSE,FALSE,TRUE,TRUE,1,NA,0.52724661640277,NA,FALSE,FALSE,FALSE,FALSE,FALSE,0.887754482730675,0.314346151207299,0.314346151207299,"","first_concession",""
"M8s","Cox PH","NAVCO 2.1","Hazard of success (CY, strict)","stterr_c",10.7117306305276,0.338413985550064,-0.0661583034911502,0.0010512955440937,0.0321508296479331,0.941188645466409,0.609769652353364,"-",FALSE,65,8,1.14285714285714,FALSE,FALSE,FALSE,TRUE,NA,0.999526048676777,NA,0.813026203137819,FALSE,FALSE,FALSE,FALSE,FALSE,0.861495060135239,0.844569999307143,0.844569999307143,"","strict_success",""
"M9","Firth PML","NAVCO 2.1","Yearly concession (CY, binary)","domaut_c",10.0785463830053,0.298647232239854,-1.06005071286106,0.0354849055708685,11.2556816644116,0.271988008599153,0.309972499810004,"-",FALSE,65,15,1.66666666666667,FALSE,FALSE,TRUE,TRUE,1,NA,1,NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,"","",""
"M9s","Firth PML","NAVCO 2.1","Yearly success (CY, strict bin.)","domaut_c",14.3915935445138,0.296043069561719,-1.31681064331328,0.0364004133751251,1.62886611188204,0.90631831302829,0.48396617818731,"-",FALSE,65,8,0.888888888888889,FALSE,FALSE,FALSE,TRUE,NA,0.999526048676777,NA,0.813026203137819,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,"","",""
"M10","Firth PML","NAVCO 2.1","Yearly concession (CY, binary)","stterr_c",7.69016034522533,0.379589748866972,-0.0487493743490032,0.138145808431359,0.135948500208608,0.805849097717088,0.653662389540859,"-",FALSE,65,15,1.66666666666667,FALSE,FALSE,TRUE,TRUE,1,NA,1,NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,"","",""
"M10s","Firth PML","NAVCO 2.1","Yearly success (CY, strict bin.)","stterr_c",11.6540991218006,0.379453204709469,-0.0795952517046378,0.038454885918338,-0.000484322636829861,0.999526048676777,0.576370483765505,"-",TRUE,65,8,0.888888888888889,FALSE,FALSE,FALSE,TRUE,NA,0.999526048676777,NA,0.813026203137819,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,"","",""
"M11","bracl","NAVCO 2.1","progress_ord (6-level; failure separate)","domaut_c",-2.3779249892697,0.371410771235548,0.248272940075195,0.0854385624097321,-2.83017481324542,0.325757687806094,0.45467099538956,"+",FALSE,65,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,0.892328389858549,NA,0.813026203137819,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,"","",""
"M12","bracl","NAVCO 2.1","progress_ord (6-level; failure separate)","stterr_c",-1.8477575367579,0.463703421350497,0.0116872582563137,0.225980146743875,-0.064754190374031,0.690484239522611,0.735301634388653,"+",FALSE,65,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,0.999526048676777,NA,0.815225974081865,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,"","",""
"M7_AG","Cox PH","NAVCO 2.1","Hazard of concession (CY, recurrent-event)","domaut_c",15.8863839797185,0.147382766107339,-1.09909472711449,0.00699474670597196,17.9456941996103,0.0993714079567703,0.215962865674002,"-",FALSE,65,15,2.14285714285714,FALSE,TRUE,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,"PH_NOT_REPORTED_RECURRENT","recurrent_event_concession","Recurrent-event Cox robustness estimand; first-event PH diagnostic not reported"
"M8_AG","Cox PH","NAVCO 2.1","Hazard of concession (CY, recurrent-event)","stterr_c",11.8559764742492,0.163829083558734,-0.0459124859144218,0.0544584208488826,0.340666227652759,0.583354312004904,0.328667176653216,"-",FALSE,65,15,2.14285714285714,FALSE,FALSE,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,"PH_NOT_REPORTED_RECURRENT","recurrent_event_concession","Recurrent-event Cox robustness estimand; first-event PH diagnostic not reported"
"M9_GEE","GEE logit","NAVCO 2.1","Yearly concession (CY, source-clustered GEE)","domaut_c",11.6306830782819,0.2448684373632,-1.27129926017761,0.00255605919545299,16.2950038373869,0.174434154091023,0.161753400535716,"-",FALSE,65,15,1.66666666666667,FALSE,FALSE,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,"","",""
"M10_GEE","GEE logit","NAVCO 2.1","Yearly concession (CY, source-clustered GEE)","stterr_c",9.81866267282274,0.284748443440992,-0.0570883263487491,0.119567986504584,0.353555635185651,0.520507957251744,0.498865505889884,"-",FALSE,65,15,1.66666666666667,FALSE,FALSE,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,"","",""
