"model","estimator","data","response","moderator","mod_direction","beta_eng_c","p_eng_c","beta_mod_c","p_mod_c","beta_int","p_int","joint_wald_p","expected_int_sign","sign_consistent","N","n_events","epv","sig_05_int","sig_10_int","epv_warning","main_panel","p_int_holm","p_int_bh","sig_05_int_holm","sig_10_int_holm","sig_05_int_bh","sig_10_int_bh","robustness_row","ph_global_p","ph_int_p","ph_focal_p","ph_flag","cox_estimand","interpretation_note"
"M15","Cox PH","NAVCO 2.1","Hazard of first concession (CY)","clpol_c","pos",6.48474030055721,0.425723436840869,-5.10409563615482,0.210847973418512,50.3991394883306,0.0712872573968099,0.0450657634044319,"+",TRUE,58,13,1.625,FALSE,TRUE,TRUE,FALSE,NA,0.688853371312335,FALSE,FALSE,FALSE,FALSE,FALSE,0.767525324513317,0.921899278241762,0.921899278241762,"","first_concession",""
"M15s","Cox PH","NAVCO 2.1","Hazard of success (CY, strict)","clpol_c","pos",12.4855815836412,0.443301774927266,-12.157593136635,0.0703628494365822,-29.6289051124693,0.591283817152776,0.74496173748538,"+",FALSE,64,8,1,FALSE,FALSE,TRUE,FALSE,NA,0.776545562018169,FALSE,FALSE,FALSE,FALSE,FALSE,0.845264558683863,0.887662294497944,0.887662294497944,"","strict_success",""
"M16","Cox PH","NAVCO 2.1","Hazard of first concession (CY)","polity_c","pos",8.11407852857026,0.389899589093296,-0.125315402362509,0.145622669686911,3.35176192384698,0.0887461359895103,0.0594648269648982,"+",TRUE,56,13,1.625,FALSE,TRUE,TRUE,FALSE,NA,0.688853371312335,FALSE,FALSE,FALSE,FALSE,FALSE,0.202145373643427,0.519843867370506,0.519843867370506,"","first_concession",""
"M16s","Cox PH","NAVCO 2.1","Hazard of success (CY, strict)","polity_c","pos",12.7680702324387,0.40061735669027,0.0216306499428156,0.876710387677749,2.21958448472315,0.470711885081407,0.398732465085766,"+",TRUE,62,8,1,FALSE,FALSE,TRUE,FALSE,NA,0.717275253457383,FALSE,FALSE,FALSE,FALSE,FALSE,0.934097956169045,0.963460091523422,0.963460091523422,"","strict_success",""
"M17","Firth PML","NAVCO 2.1","Yearly concession (CY, binary)","repress_c","pos",1.18309717324587,0.920002600142465,0.696668216859651,0.0213231954122683,8.15347067942981,0.417383722723771,0.532364676063374,"+",TRUE,64,15,1.66666666666667,FALSE,FALSE,TRUE,FALSE,NA,0.702962059324245,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,"","",""
"M17s","Firth PML","NAVCO 2.1","Yearly success (CY, strict bin.)","repress_c","pos",15.5130355529774,0.27319231944557,0.6765235135111,0.0791716907626452,-3.86251926602224,0.672451151540291,0.404767212929414,"+",FALSE,64,8,0.888888888888889,FALSE,FALSE,TRUE,FALSE,NA,0.776545562018169,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,"","",""
"M18","Firth PML","NAVCO 2.1","Yearly concession (CY, binary)","civlib_c","pos",3.02587263329792,0.78506529072721,-4.36617152047591,0.248008189642117,52.0180742934811,0.395407212426707,0.446146572602648,"+",TRUE,64,15,1.5,FALSE,FALSE,TRUE,FALSE,NA,0.702962059324245,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,"","",""
"M18s","Firth PML","NAVCO 2.1","Yearly success (CY, strict bin.)","civlib_c","pos",17.3958635410383,0.381275984139009,-10.5713052773062,0.0326627539887671,-18.2956084203104,0.844432254462427,0.411602953876361,"+",FALSE,64,8,0.8,FALSE,FALSE,TRUE,FALSE,NA,0.854601589121123,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,"","",""
"M19","Firth PML","NAVCO 2.1","Yearly concession (CY, binary)","clpol_c","pos",1.79426672505069,0.872093524702024,-4.79430064010938,0.308620065113078,47.2330781549984,0.399358310504756,0.494986838274241,"+",TRUE,64,15,1.5,FALSE,FALSE,TRUE,FALSE,NA,0.702962059324245,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,"","",""
"M19s","Firth PML","NAVCO 2.1","Yearly success (CY, strict bin.)","clpol_c","pos",14.2995893841698,0.421404048074475,-6.41125554881887,0.293206349224873,-20.6435031418174,0.739200752329769,0.496166724115073,"+",FALSE,64,8,0.8,FALSE,FALSE,TRUE,FALSE,NA,0.788480802485087,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,"","",""
"M20","Firth PML","NAVCO 2.1","Yearly concession (CY, binary)","polity_c","pos",5.40872896468199,0.614640383646461,-0.192857142045016,0.0420205184636391,2.59041024782618,0.211886507556678,0.271322830025182,"+",TRUE,62,15,1.5,FALSE,FALSE,TRUE,FALSE,NA,0.702962059324245,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,"","",""
"M20s","Firth PML","NAVCO 2.1","Yearly success (CY, strict bin.)","polity_c","pos",12.4324151859001,0.500293255915689,-0.00530288760610143,0.963216634536055,0.586231442864685,0.854601589121123,0.470061844126338,"+",TRUE,62,8,0.8,FALSE,FALSE,TRUE,FALSE,NA,0.854601589121123,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,"","",""
"M21","bracl","NAVCO 2.1","progress_ord (6-level; failure separate)","repress_c","pos",-0.744163206010438,0.781787886089813,-0.180123960761482,0.0385035345769443,-2.15188712699711,0.3548550757865,0.577647249891656,"-",TRUE,64,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,0.702962059324245,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,"","",""
"M22","bracl","NAVCO 2.1","progress_ord (6-level; failure separate)","civlib_c","pos",-0.804192725580686,0.773008692528138,1.20092634007208,0.284095178898176,-17.0739057028654,0.238492083789553,0.405554516300266,"-",TRUE,64,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,0.702962059324245,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,"","",""
"M23","bracl","NAVCO 2.1","progress_ord (6-level; failure separate)","clpol_c","pos",-0.438282890735795,0.874638525252302,1.06525331222284,0.421720716684649,-13.5443516676482,0.319487522195994,0.532378262300555,"-",TRUE,64,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,0.702962059324245,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,"","",""
"M24","bracl","NAVCO 2.1","progress_ord (6-level; failure separate)","polity_c","pos",-1.6776403514179,0.552629745704997,0.0311716764576042,0.241252740630077,-0.575001474196936,0.319441220737944,0.43007479057011,"-",TRUE,62,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,0.702962059324245,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,"","",""
"M13_AG","Cox PH","NAVCO 2.1","Hazard of concession (CY, recurrent-event)","repress_c","pos",3.20315171287832,0.719711863211119,0.71496384105277,0.00705253246951439,9.96842320611206,0.0995301534834347,0.104100009962792,"+",TRUE,64,15,2.14285714285714,FALSE,TRUE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,"PH_NOT_REPORTED_RECURRENT","recurrent_event_concession","Recurrent-event Cox robustness estimand; first-event PH diagnostic not reported"
"M14_AG","Cox PH","NAVCO 2.1","Hazard of concession (CY, recurrent-event)","civlib_c","pos",6.31901610267924,0.460313176064498,-5.39433573862864,0.196288357612499,65.764164363917,0.151331139668227,0.280368632241459,"+",TRUE,64,15,1.875,FALSE,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,"PH_NOT_REPORTED_RECURRENT","recurrent_event_concession","Recurrent-event Cox robustness estimand; first-event PH diagnostic not reported"
"M15_AG","Cox PH","NAVCO 2.1","Hazard of concession (CY, recurrent-event)","clpol_c","pos",3.95332991983748,0.667858462753081,-5.47395510124184,0.138052916064867,52.1352150715161,0.0903959979673366,0.0855333735971878,"+",TRUE,64,15,1.875,FALSE,TRUE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,"PH_NOT_REPORTED_RECURRENT","recurrent_event_concession","Recurrent-event Cox robustness estimand; first-event PH diagnostic not reported"
"M16_AG","Cox PH","NAVCO 2.1","Hazard of concession (CY, recurrent-event)","polity_c","pos",7.25206831486733,0.488447645825409,-0.151362355641677,0.026553282573259,3.23033648961029,0.109518695013578,0.0747278594998281,"+",TRUE,62,15,1.875,FALSE,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,"PH_NOT_REPORTED_RECURRENT","recurrent_event_concession","Recurrent-event Cox robustness estimand; first-event PH diagnostic not reported"
"M17_GEE","GEE logit","NAVCO 2.1","Yearly concession (CY, source-clustered GEE)","repress_c","pos",-1.213592086467,0.909172395308636,0.9441889764435,0.0341455181262376,13.9319325940901,0.161310678994664,0.253056636666412,"+",TRUE,64,15,1.66666666666667,FALSE,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,"","",""
"M18_GEE","GEE logit","NAVCO 2.1","Yearly concession (CY, source-clustered GEE)","civlib_c","pos",4.69527056727794,0.655309721265074,-5.28616864491341,0.28921306899168,65.0600391784143,0.346281987149037,0.431906372342011,"+",TRUE,64,15,1.5,FALSE,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,"","",""
"M19_GEE","GEE logit","NAVCO 2.1","Yearly concession (CY, source-clustered GEE)","clpol_c","pos",-0.715994103952695,0.945336018721922,-6.33385638808658,0.198892364277209,75.4542376301954,0.226988379811358,0.400012070816503,"+",TRUE,64,15,1.5,FALSE,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,"","",""
"M20_GEE","GEE logit","NAVCO 2.1","Yearly concession (CY, source-clustered GEE)","polity_c","pos",-3.2543224080079,0.814151137633059,-0.362000877849438,0.00251448222009421,6.46795927318355,0.0818778837905566,0.117712522332748,"+",TRUE,62,15,1.5,FALSE,TRUE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,"","",""
