"model","estimator","data","response","moderator","beta_eng","p_eng","beta_mod","p_mod","beta_int","p_int","N","n_events","epv","p_int_bh","epv_warning","sig_05_int","sig_05_int_bh"
"M1l","Weibull AFT","NAVCO 1.3","Time to limited success","domaut_c",2.16217109604505,0.620392264382468,0.0277720267824502,0.87000936042281,-1.2426669396477,0.819347897712467,101,12,1.5,0.919977015710281,TRUE,FALSE,FALSE
"M2l","Weibull AFT","NAVCO 1.3","Time to limited success","stterr_c",0.62803615912663,0.890844211830384,0.00999021045697969,0.407723322990395,-0.141492492620668,0.667315271991251,101,12,1.5,0.919977015710281,TRUE,FALSE,FALSE
"M3l","Firth PML","NAVCO 1.3","Limited success (binary)","domaut_c",-3.60659514457684,0.726001826788573,-0.187921854459798,0.591189901756123,2.25460765073809,0.82840383380764,101,12,1.33333333333333,0.919977015710281,TRUE,FALSE,FALSE
"M4l","Firth PML","NAVCO 1.3","Limited success (binary)","stterr_c",-1.02744598028434,0.921684183188635,-0.03315274540068,0.203441514704503,0.562703025582178,0.412660310216863,101,12,1.33333333333333,0.919977015710281,TRUE,FALSE,FALSE
"M7l","Cox PH","NAVCO 2.1","Hazard of first limited","domaut_c",436.496828389984,0,-39.2334154936665,0,410.990318586677,0,64,2,0.285714285714286,0,TRUE,TRUE,TRUE
"M8l","Cox PH","NAVCO 2.1","Hazard of first limited","stterr_c",38.6215897196098,0.00301162110270429,-0.261092380888048,0.0275116985517066,-2.13555456365005,0.279985247969586,64,2,0.285714285714286,0.919977015710281,TRUE,FALSE,FALSE
"M9l","Firth PML","NAVCO 2.1","Yearly limited (binary)","domaut_c",6.70787084266109,0.748119160094633,-1.1657882371812,0.0950544778969787,-1.85376502334964,0.919977015710281,65,2,0.222222222222222,0.919977015710281,TRUE,FALSE,FALSE
"M10l","Firth PML","NAVCO 2.1","Yearly limited (binary)","stterr_c",6.43536012283648,0.654205231823993,-0.0639457539975443,0.289973795412151,0.277706779440996,0.755376919108323,65,2,0.222222222222222,0.919977015710281,TRUE,FALSE,FALSE
