"exhibit_id","model_id","estimator","term","estimate","std_error","p_value","N"
"C9","C9_01_W","survreg","(Intercept)",0.332286289323793,0.801452439329486,0.678430995312733,97
"C9","C9_01_W","survreg","eng_c",5.56388805316604,3.13526010319227,0.0759610337122823,97
"C9","C9_01_W","survreg","I(eng_c^2)",121.62901397895,82.3618910159629,0.13973911044403,97
"C9","C9_01_W","survreg","fdiin_c",0.0256250131593922,0.0316646805116585,0.418364631911652,97
"C9","C9_01_W","survreg","nonviolent_camp1",-0.444552306575758,0.308724195296554,0.149877053433551,97
"C9","C9_01_W","survreg","REGCHANGE",-0.734723086100796,0.45765154748168,0.108401339217329,97
"C9","C9_01_W","survreg","v2csreprss",-0.32836704779814,0.0648293310779962,4.08185921627671e-07,97
"C9","C9_01_W","survreg","lnnum_image_sum",0.254972961019733,0.0739766318620865,0.000567543546399016,97
"C9","C9_01_W","survreg","lngdp",0.0853901611942269,0.0671673994169202,0.203620638230732,97
"C9","C9_01_W","survreg","eng_c:fdiin_c",-1.02064119042522,0.910527366915689,0.262315907094268,97
"C9","C9_01_W","survreg","I(eng_c^2):fdiin_c",47.9271069065797,22.973618941274,0.0369623111673132,97
"C9","C9_01_F","logistf","(Intercept)",2.04616686887428,2.2271724212352,0.368573667465041,97
"C9","C9_01_F","logistf","eng_c",-7.8777261671588,8.6274290419525,0.372362631040503,97
"C9","C9_01_F","logistf","I(eng_c^2)",-412.867418786262,240.700367888495,0.108784260227158,97
"C9","C9_01_F","logistf","fdiin_c",-0.176440686871512,0.0914569609558743,0.0429469788877234,97
"C9","C9_01_F","logistf","nonviolent_camp1",0.223622915354488,0.829802782009614,0.793366674316535,97
"C9","C9_01_F","logistf","REGCHANGE",1.266569107829,0.947391271324044,0.16484856114837,97
"C9","C9_01_F","logistf","v2csreprss",0.520200134898402,0.205545749552437,0.00989864723394362,97
"C9","C9_01_F","logistf","lnlengthofcam",-0.225258952701496,0.409454154993897,0.587984214909108,97
"C9","C9_01_F","logistf","lnnum_image_sum",-0.151196756603521,0.248750801601042,0.553786995619273,97
"C9","C9_01_F","logistf","lngdp",-0.300776996344773,0.243312133024651,0.223754591611253,97
"C9","C9_01_F","logistf","eng_c:fdiin_c",-0.962210411519725,2.2926170923199,0.684111620787746,97
"C9","C9_01_F","logistf","I(eng_c^2):fdiin_c",-13.3289119805564,66.2434004752711,0.848172782471247,97
"C9","C9_02_W","survreg","(Intercept)",1.86567707825889,0.944908261938824,0.048330241530847,91
"C9","C9_02_W","survreg","eng_c",1.22126666599595,3.58533209685867,0.733383193227618,91
"C9","C9_02_W","survreg","I(eng_c^2)",182.470234615937,88.1645784208771,0.0384846911794124,91
"C9","C9_02_W","survreg","trade_c",0.145333957358837,0.103573821236121,0.160559592566926,91
"C9","C9_02_W","survreg","nonviolent_camp1",-0.443164853238638,0.417963400516522,0.289010032940787,91
"C9","C9_02_W","survreg","REGCHANGE",-0.814968862956711,0.54111655298847,0.132044719471409,91
"C9","C9_02_W","survreg","v2csreprss",-0.433885449335663,0.0832217075701419,1.85201554624025e-07,91
"C9","C9_02_W","survreg","lnnum_image_sum",0.17009853317191,0.0879114992419894,0.0530045601348131,91
