exhibit_id,component_id,artifact_kind,reference_path,reference_sha256,output_path,validation,abs_tolerance,rel_tolerance,provenance_artifact,provenance_reference
C16,body,table,reference/accepted/appendix_tables/H3_ordered_table_body.csv,4d98fe1e457a462a49e6991743ecc80419007af209a342ce9218ba3e743ce23c,output/tables/appendix/H3_ordered_table_body.csv,display_copy,0,0,,
C17,body,table,reference/accepted/appendix_tables/H3_campaign_year_concession_table_body.csv,bcf65cbe2770b6890e08fc35e5eae7cd5f0b477f39c80e09cfea2d1922c2f213,output/tables/appendix/H3_campaign_year_concession_table_body.csv,display_copy,0,0,,
C18,body,table,reference/accepted/appendix_tables/H3_campaign_year_strict_table_body.csv,fb6792e58c145568d0a263738763ab847817e9989c718bf2637d768093ec666b,output/tables/appendix/H3_campaign_year_strict_table_body.csv,display_copy,0,0,,
C19,body,table,reference/accepted/appendix_tables/H3_sensitivity_table_body.csv,a789bc76c943352df3e7eb2d4135ffef4543abe90ac0869e49aef970fe044193,output/tables/appendix/H3_sensitivity_table_body.csv,display_copy,0,0,,
C20,body,table,reference/accepted/appendix_tables/H3_additional_moderators_table_body.csv,033e8b8b8955620ad3ce53e42ef31d03fceca4e8d48d330e62664acb2ae2844f,output/tables/appendix/H3_additional_moderators_table_body.csv,display_copy,0,0,data/h3_additional_moderators.csv,reference/accepted/provenance/C20_provenance.csv
C21,body,table,reference/accepted/appendix_tables/appendix_A2_success_dv_table_body.csv,a0dd2db421253239e66216f7761ddfab2d454938af750783a566f445e6d77d34,output/tables/appendix/appendix_A2_success_dv_table_body.csv,display_copy,0,0,,
C22,body,table,reference/accepted/appendix_tables/C22_nonviolent_final_body.csv,90c6c49cb136a5cd3bba9ce8fb6024d4396ebbb7f47127814f18ad4b5572fcd5,output/tables/appendix/C22_nonviolent_final_body.csv,display_copy,0,0,,
C23,body,table,reference/accepted/appendix_tables/appendix_A4_sensemakr_bounds_table_body.csv,f4a9522cebd6f8006ae176f6234d75cab81d0e94a925147280c2bf90dcb087b5,output/tables/appendix/appendix_A4_sensemakr_bounds_table_body.csv,display_copy,0,0,,
C24,body,table,reference/accepted/appendix_tables/appendix_A5_ongoing_sensitivity_table_body.csv,122b5cfb4da1c204ceb3f7c24c77fbd7e13aa064e30ea574bb45f8daad38b66d,output/tables/appendix/appendix_A5_ongoing_sensitivity_table_body.csv,display_copy,0,0,,
C25,body,table,reference/accepted/appendix_tables/C25_power_final_body.csv,03a87c75ca8563b37bc471188e5c28a8c49bb702f3a9df519df646af2f8d2399,output/tables/appendix/C25_power_table_body.csv,display_copy,0,0,,
C26,panel_1,table,reference/accepted/appendix_tables/inference_diagnostics_cox_ph_table_body.csv,338076e210c2d29745101df23fbb590006a7c825c2410d10c8203ded913cf693,output/tables/appendix/C26_panel_1_table_body.csv,display_copy,0,0,,
C26,panel_2,table,reference/accepted/appendix_tables/inference_diagnostics_cox_power_quarantine_table_body.csv,dcd717b380393f70380cfdb576e4886c8eb72532be547ddfc8e5cd5eee7ed5f3,output/tables/appendix/C26_panel_2_table_body.csv,display_copy,0,0,,
C26,panel_3,table,reference/accepted/appendix_tables/inference_diagnostics_weibull_table_body.csv,88d4aaa3890998b6da0a6f255fb311a4daabc391f45b9bcaf21e9c40df0262aa,output/tables/appendix/C26_panel_3_table_body.csv,display_copy,0,0,,
Figure_C1,render,figure,reference/accepted/figures/fig_h1_appendix_forest_beta_eng2.pdf,33a7dc4009a5f10896ff82357c0ae994521433932a90757cd09445b3281d0d5d,output/figures/Figure_C1.pdf,render,0,0,,
Figure_C1,plot_data,figure_data,reference/accepted/figure_data/Figure_C1_plot_data.csv,d2a059ad5fc12a2967eaaf267071b1e5e243c8650594ef6fad93f73a6eca144d,output/figures/Figure_C1_plot_data.csv,numeric,0.00000001,0.00000001,code/R/36_build_appendix_power_inference.R,reference/accepted/provenance/derived_numeric_references.csv
Figure_C2,render,figure,reference/accepted/figures/fig_h3_appendix_forest_beta_int.pdf,39050771504f5c816c537c2aeca6a783f1d8e9b56b4ce50d5c53ba3c2b135d4c,output/figures/Figure_C2.pdf,render,0,0,,
Figure_C2,plot_data,figure_data,reference/accepted/figure_data/Figure_C2_plot_data.csv,891795e195278a98c4bc615c848cf1b33fc774d86ff64bfa0f730784b43d78da,output/figures/Figure_C2_plot_data.csv,numeric,0.00000001,0.00000001,code/R/36_build_appendix_power_inference.R,reference/accepted/provenance/derived_numeric_references.csv
