"model_id","moderator_label","eng","moderator_percentile","moderator_value","fit","lwr","upr","panel"
"M2","Trade Freedom",0,"10th",5.03466546121173,0.827435646261175,0.26511291062371,1.90418607917782,"Weibull AFT"
"M2","Trade Freedom",0.00272855133614628,"10th",5.03466546121173,0.849141763906685,0.281571845784871,1.91220408582509,"Weibull AFT"
"M2","Trade Freedom",0.00545710267229256,"10th",5.03466546121173,0.871565959199468,0.298645333336439,1.91634993438164,"Weibull AFT"
"M2","Trade Freedom",0.00818565400843884,"10th",5.03466546121173,0.894735299604109,0.316715164921564,1.9402421909998,"Weibull AFT"
"M2","Trade Freedom",0.0109142053445851,"10th",5.03466546121173,0.91867797903599,0.335902415404643,1.95505567433002,"Weibull AFT"
"M2","Trade Freedom",0.0136427566807314,"10th",5.03466546121173,0.943423368614418,0.356297024971914,1.95933590103373,"Weibull AFT"
"M2","Trade Freedom",0.0163713080168777,"10th",5.03466546121173,0.969002069858687,0.379183778882739,1.97447207881823,"Weibull AFT"
"M2","Trade Freedom",0.0190998593530239,"10th",5.03466546121173,0.995445970451411,0.401391047072135,1.98970876180737,"Weibull AFT"
"M2","Trade Freedom",0.0218284106891702,"10th",5.03466546121173,1.02278830270012,0.425082100746442,2.00506313883909,"Weibull AFT"
"M2","Trade Freedom",0.0245569620253165,"10th",5.03466546121173,1.05106370483514,0.450817267754929,2.03279847189673,"Weibull AFT"
"M2","Trade Freedom",0.0272855133614628,"10th",5.03466546121173,1.08030828528907,0.476754221578009,2.05598408465037,"Weibull AFT"
"M2","Trade Freedom",0.0300140646976091,"10th",5.03466546121173,1.11055969011117,0.503900242127339,2.06885357906131,"Weibull AFT"
"M2","Trade Freedom",0.0327426160337553,"10th",5.03466546121173,1.141857173678,0.536373990668644,2.09705942420467,"Weibull AFT"
"M2","Trade Freedom",0.0354711673699016,"10th",5.03466546121173,1.17424167287062,0.57031112860972,2.10866266547363,"Weibull AFT"
"M2","Trade Freedom",0.0381997187060479,"10th",5.03466546121173,1.20775588489756,0.601180788194524,2.13028760278097,"Weibull AFT"
"M2","Trade Freedom",0.0409282700421942,"10th",5.03466546121173,1.24244434895272,0.634558431699887,2.15688004656292,"Weibull AFT"
"M2","Trade Freedom",0.0436568213783405,"10th",5.03466546121173,1.2783535319076,0.674556667254002,2.18002864199188,"Weibull AFT"
"M2","Trade Freedom",0.0463853727144867,"10th",5.03466546121173,1.315531918248,0.717121525895625,2.20010255855588,"Weibull AFT"
"M2","Trade Freedom",0.049113924050633,"10th",5.03466546121173,1.35403010447679,0.762391698283227,2.21903201135574,"Weibull AFT"
"M2","Trade Freedom",0.0518424753867793,"10th",5.03466546121173,1.3939008982167,0.802156301724241,2.26759492876025,"Weibull AFT"
"M2","Trade Freedom",0.0545710267229256,"10th",5.03466546121173,1.43519942225952,0.841796286120674,2.30177240755793,"Weibull AFT"
"M2","Trade Freedom",0.0572995780590718,"10th",5.03466546121173,1.47798322382183,0.88982581100956,2.32528720833771,"Weibull AFT"
