"panel","eng","fit","lwr","upr","reference_time","turning_point","turning_lo","turning_hi"
"M1: Weibull AFT",0,0.0383560029962871,0.000314807193131651,0.291560932312806,1.95555555555556,0.101483391456769,0.0829507559149583,0.120016026998579
"M1: Weibull AFT",0.00365348399246705,0.0416869493078395,0.000493509140946729,0.295784588815392,1.95555555555556,0.101483391456769,0.0829507559149583,0.120016026998579
"M1: Weibull AFT",0.0073069679849341,0.0455034324067626,0.000762697851478185,0.294083690999415,1.95555555555556,0.101483391456769,0.0829507559149583,0.120016026998579
"M1: Weibull AFT",0.0109604519774012,0.0498661727230294,0.00116222080445383,0.294175755205213,1.95555555555556,0.101483391456769,0.0829507559149583,0.120016026998579
"M1: Weibull AFT",0.0146139359698682,0.0548394186226838,0.00179951048825263,0.299404739331103,1.95555555555556,0.101483391456769,0.0829507559149583,0.120016026998579
"M1: Weibull AFT",0.0182674199623353,0.0604889344026887,0.00281179022973193,0.298400297737324,1.95555555555556,0.101483391456769,0.0829507559149583,0.120016026998579
"M1: Weibull AFT",0.0219209039548023,0.0668792714010423,0.00410084313025666,0.297123161742291,1.95555555555556,0.101483391456769,0.0829507559149583,0.120016026998579
"M1: Weibull AFT",0.0255743879472694,0.0740703340599965,0.00586037594505491,0.2955970428706,1.95555555555556,0.101483391456769,0.0829507559149583,0.120016026998579
"M1: Weibull AFT",0.0292278719397364,0.0821133200560998,0.00826865789258943,0.298021548965143,1.95555555555556,0.101483391456769,0.0829507559149583,0.120016026998579
"M1: Weibull AFT",0.0328813559322035,0.0910461673082816,0.0115332966841502,0.302310903312851,1.95555555555556,0.101483391456769,0.0829507559149583,0.120016026998579
"M1: Weibull AFT",0.0365348399246705,0.100888679898573,0.0161681787908786,0.300508604960455,1.95555555555556,0.101483391456769,0.0829507559149583,0.120016026998579
"M1: Weibull AFT",0.0401883239171376,0.111637551457514,0.0214226537895926,0.303722428519896,1.95555555555556,0.101483391456769,0.0829507559149583,0.120016026998579
"M1: Weibull AFT",0.0438418079096046,0.123261571320122,0.029378544793751,0.302687144621339,1.95555555555556,0.101483391456769,0.0829507559149583,0.120016026998579
"M1: Weibull AFT",0.0474952919020717,0.135697380002723,0.0379741649269847,0.304026518745063,1.95555555555556,0.101483391456769,0.0829507559149583,0.120016026998579
"M1: Weibull AFT",0.0511487758945387,0.14884621612132,0.0480836156183302,0.310317605240996,1.95555555555556,0.101483391456769,0.0829507559149583,0.120016026998579
"M1: Weibull AFT",0.0548022598870058,0.162572139328489,0.0595242708012893,0.317660380270547,1.95555555555556,0.101483391456769,0.0829507559149583,0.120016026998579
"M1: Weibull AFT",0.0584557438794728,0.176702194730611,0.074126782940691,0.322478540619127,1.95555555555556,0.101483391456769,0.0829507559149583,0.120016026998579
"M1: Weibull AFT",0.0621092278719399,0.19102888067264,0.0864484269835113,0.331899536359831,1.95555555555556,0.101483391456769,0.0829507559149583,0.120016026998579
"M1: Weibull AFT",0.0657627118644069,0.205315084779865,0.101580642872154,0.342354992917245,1.95555555555556,0.101483391456769,0.0829507559149583,0.120016026998579
"M1: Weibull AFT",0.069416195856874,0.219301376580927,0.117460140455672,0.345317619261061,1.95555555555556,0.101483391456769,0.0829507559149583,0.120016026998579
"M1: Weibull AFT",0.073069679849341,0.232715230647951,0.134194357521893,0.352843819077264,1.95555555555556,0.101483391456769,0.0829507559149583,0.120016026998579
"M1: Weibull AFT",0.0767231638418081,0.245281467427521,0.143871382838802,0.3647182706399,1.95555555555556,0.101483391456769,0.0829507559149583,0.120016026998579
"M1: Weibull AFT",0.0803766478342751,0.256733012991115,0.158063684180322,0.374489960189657,1.95555555555556,0.101483391456769,0.0829507559149583,0.120016026998579
"M1: Weibull AFT",0.0840301318267422,0.266821050639273,0.166839394534042,0.380071524014338,1.95555555555556,0.101483391456769,0.0829507559149583,0.120016026998579
"M1: Weibull AFT",0.0876836158192092,0.275323784288219,0.174162503095342,0.39266338265351,1.95555555555556,0.101483391456769,0.0829507559149583,0.120016026998579
"M1: Weibull AFT",0.0913370998116763,0.282053323307785,0.179555786721508,0.40053842324877,1.95555555555556,0.101483391456769,0.0829507559149583,0.120016026998579
"M1: Weibull AFT",0.0949905838041433,0.286860555312799,0.183149953100806,0.400339010605345,1.95555555555556,0.101483391456769,0.0829507559149583,0.120016026998579
"M1: Weibull AFT",0.0986440677966104,0.289638202215829,0.183470832040005,0.407286321437986,1.95555555555556,0.101483391456769,0.0829507559149583,0.120016026998579
"M1: Weibull AFT",0.102297551789077,0.290322472169905,0.185444606574196,0.409844637374308,1.95555555555556,0.101483391456769,0.0829507559149583,0.120016026998579
"M1: Weibull AFT",0.105951035781544,0.288893779667866,0.18341155669865,0.413749328158368,1.95555555555556,0.101483391456769,0.0829507559149583,0.120016026998579
"M1: Weibull AFT",0.109604519774012,0.285376909008874,0.179764524750648,0.414010947159812,1.95555555555556,0.101483391456769,0.0829507559149583,0.120016026998579
"M1: Weibull AFT",0.113258003766479,0.279840783958553,0.17614806419333,0.407856935295381,1.95555555555556,0.101483391456769,0.0829507559149583,0.120016026998579
