"exhibit_id","component_id","reference_path","output_path","precopy_origin","rebuilt_sha256","rebuilt_exact_string_match","rebuild_detail","rebuild_mismatches","rebuild_mismatch_fit_key","reference_sha256","output_sha256","lineage_class","status"
"C10","body","reference/accepted/appendix_tables/H22_concession_campaign_year_table_body.csv","output/tables/appendix/H22_concession_campaign_year_table_body.csv","independent_table_builder","acf4fc6aa64baf7fd238be482cffaf0b6b43d51143e6746551fad24732d74b5e",TRUE,"all displayed strings match","","","acf4fc6aa64baf7fd238be482cffaf0b6b43d51143e6746551fad24732d74b5e","acf4fc6aa64baf7fd238be482cffaf0b6b43d51143e6746551fad24732d74b5e","accepted_display_copy","PASS"
"C11","body","reference/accepted/appendix_tables/H22_strict_success_campaign_year_table_body.csv","output/tables/appendix/H22_strict_success_campaign_year_table_body.csv","independent_table_builder","9e93aa1bba8faa8a366fe2c680cb0b00092c850ebd8539f257c72a427b809258",TRUE,"all displayed strings match","","","9e93aa1bba8faa8a366fe2c680cb0b00092c850ebd8539f257c72a427b809258","9e93aa1bba8faa8a366fe2c680cb0b00092c850ebd8539f257c72a427b809258","accepted_display_copy","PASS"
"C12","body","reference/accepted/appendix_tables/H22_quadratic_campaign_year_table_body.csv","output/tables/appendix/H22_quadratic_campaign_year_table_body.csv","independent_table_builder","aca260a0afbf788cb25b06eb79bd1eba04a7bd6e7da7f11f31b2f36e2bf20d85",TRUE,"all displayed strings match","","","aca260a0afbf788cb25b06eb79bd1eba04a7bd6e7da7f11f31b2f36e2bf20d85","aca260a0afbf788cb25b06eb79bd1eba04a7bd6e7da7f11f31b2f36e2bf20d85","accepted_display_copy","PASS"
"C13","body","reference/accepted/appendix_tables/H22_rest_ordered_table_body.csv","output/tables/appendix/H22_rest_ordered_table_body.csv","independent_table_builder","32c23b85fa7dfa630e1e941b5181a9106fd04754cfab36dd8b1574ce6d3fae80",TRUE,"all displayed strings match","","","32c23b85fa7dfa630e1e941b5181a9106fd04754cfab36dd8b1574ce6d3fae80","32c23b85fa7dfa630e1e941b5181a9106fd04754cfab36dd8b1574ce6d3fae80","accepted_display_copy","PASS"
"C14","body","reference/accepted/appendix_tables/H22_rest_robustness_table_body.csv","output/tables/appendix/H22_rest_robustness_table_body.csv","independent_table_builder","bf8e73e6f9ddac909c2c655a6e6fd5e27c805e345944de1ea76c1e8ab6aea5e5",TRUE,"all displayed strings match","","","bf8e73e6f9ddac909c2c655a6e6fd5e27c805e345944de1ea76c1e8ab6aea5e5","bf8e73e6f9ddac909c2c655a6e6fd5e27c805e345944de1ea76c1e8ab6aea5e5","accepted_display_copy","PASS"
"C15","body","reference/accepted/appendix_tables/H3_strict_success_campaign_table_body.csv","output/tables/appendix/H3_strict_success_campaign_table_body.csv","independent_table_builder","8a867754277fdcc452a13386353183f5bdc8622ad52ce7b766ddd4b3a65cd569",TRUE,"all displayed strings match","","","8a867754277fdcc452a13386353183f5bdc8622ad52ce7b766ddd4b3a65cd569","8a867754277fdcc452a13386353183f5bdc8622ad52ce7b766ddd4b3a65cd569","accepted_display_copy","PASS"
"C16","body","reference/accepted/appendix_tables/H3_ordered_table_body.csv","output/tables/appendix/H3_ordered_table_body.csv","independent_table_builder","4d98fe1e457a462a49e6991743ecc80419007af209a342ce9218ba3e743ce23c",TRUE,"all displayed strings match","","","4d98fe1e457a462a49e6991743ecc80419007af209a342ce9218ba3e743ce23c","4d98fe1e457a462a49e6991743ecc80419007af209a342ce9218ba3e743ce23c","accepted_display_copy","PASS"
"C17","body","reference/accepted/appendix_tables/H3_campaign_year_concession_table_body.csv","output/tables/appendix/H3_campaign_year_concession_table_body.csv","independent_table_builder","bcf65cbe2770b6890e08fc35e5eae7cd5f0b477f39c80e09cfea2d1922c2f213",TRUE,"all displayed strings match","","","bcf65cbe2770b6890e08fc35e5eae7cd5f0b477f39c80e09cfea2d1922c2f213","bcf65cbe2770b6890e08fc35e5eae7cd5f0b477f39c80e09cfea2d1922c2f213","accepted_display_copy","PASS"
"C18","body","reference/accepted/appendix_tables/H3_campaign_year_strict_table_body.csv","output/tables/appendix/H3_campaign_year_strict_table_body.csv","independent_table_builder","fb6792e58c145568d0a263738763ab847817e9989c718bf2637d768093ec666b",TRUE,"all displayed strings match","","","fb6792e58c145568d0a263738763ab847817e9989c718bf2637d768093ec666b","fb6792e58c145568d0a263738763ab847817e9989c718bf2637d768093ec666b","accepted_display_copy","PASS"
"C19","body","reference/accepted/appendix_tables/H3_sensitivity_table_body.csv","output/tables/appendix/H3_sensitivity_table_body.csv","independent_table_builder","a789bc76c943352df3e7eb2d4135ffef4543abe90ac0869e49aef970fe044193",TRUE,"all displayed strings match","","","a789bc76c943352df3e7eb2d4135ffef4543abe90ac0869e49aef970fe044193","a789bc76c943352df3e7eb2d4135ffef4543abe90ac0869e49aef970fe044193","accepted_display_copy","PASS"
"C20","body","reference/accepted/appendix_tables/H3_additional_moderators_table_body.csv","output/tables/appendix/H3_additional_moderators_table_body.csv","independent_table_builder","033e8b8b8955620ad3ce53e42ef31d03fceca4e8d48d330e62664acb2ae2844f",TRUE,"all displayed strings match","","","033e8b8b8955620ad3ce53e42ef31d03fceca4e8d48d330e62664acb2ae2844f","033e8b8b8955620ad3ce53e42ef31d03fceca4e8d48d330e62664acb2ae2844f","accepted_display_copy","PASS"
"C21","body","reference/accepted/appendix_tables/appendix_A2_success_dv_table_body.csv","output/tables/appendix/appendix_A2_success_dv_table_body.csv","independent_table_builder","d8467fea730e4912977bd6ccbb78730c53f9a9871f3be130fdb0dbd665c50b3d",TRUE,"all displayed strings match","","","a0dd2db421253239e66216f7761ddfab2d454938af750783a566f445e6d77d34","a0dd2db421253239e66216f7761ddfab2d454938af750783a566f445e6d77d34","accepted_display_copy","PASS"
"C22","body","reference/accepted/appendix_tables/C22_nonviolent_final_body.csv","output/tables/appendix/C22_nonviolent_final_body.csv","independent_table_builder","90c6c49cb136a5cd3bba9ce8fb6024d4396ebbb7f47127814f18ad4b5572fcd5",TRUE,"all displayed strings match","","","90c6c49cb136a5cd3bba9ce8fb6024d4396ebbb7f47127814f18ad4b5572fcd5","90c6c49cb136a5cd3bba9ce8fb6024d4396ebbb7f47127814f18ad4b5572fcd5","accepted_display_copy","PASS"
"C23","body","reference/accepted/appendix_tables/appendix_A4_sensemakr_bounds_table_body.csv","output/tables/appendix/appendix_A4_sensemakr_bounds_table_body.csv","independent_table_builder","eb286ac9c375da91eed2404fadc4ab3be195ae2a503d0cdb1abbcf5f4bb5e4af",TRUE,"all displayed strings match","","","f4a9522cebd6f8006ae176f6234d75cab81d0e94a925147280c2bf90dcb087b5","f4a9522cebd6f8006ae176f6234d75cab81d0e94a925147280c2bf90dcb087b5","accepted_display_copy","PASS"
"C24","body","reference/accepted/appendix_tables/appendix_A5_ongoing_sensitivity_table_body.csv","output/tables/appendix/appendix_A5_ongoing_sensitivity_table_body.csv","independent_table_builder","76277d26d84bc3b88810ee66601110592a1b47212aa1405f074d8e05e4936abd",TRUE,"all displayed strings match","","","122b5cfb4da1c204ceb3f7c24c77fbd7e13aa064e30ea574bb45f8daad38b66d","122b5cfb4da1c204ceb3f7c24c77fbd7e13aa064e30ea574bb45f8daad38b66d","accepted_display_copy","PASS"
"C25","body","reference/accepted/appendix_tables/C25_power_final_body.csv","output/tables/appendix/C25_power_table_body.csv","accepted_source_materialized_upstream","03a87c75ca8563b37bc471188e5c28a8c49bb702f3a9df519df646af2f8d2399",TRUE,"all displayed strings match","","","03a87c75ca8563b37bc471188e5c28a8c49bb702f3a9df519df646af2f8d2399","03a87c75ca8563b37bc471188e5c28a8c49bb702f3a9df519df646af2f8d2399","accepted_display_copy","PASS"
"C26","panel_1","reference/accepted/appendix_tables/inference_diagnostics_cox_ph_table_body.csv","output/tables/appendix/C26_panel_1_table_body.csv","accepted_source_materialized_upstream","338076e210c2d29745101df23fbb590006a7c825c2410d10c8203ded913cf693",TRUE,"all displayed strings match","","","338076e210c2d29745101df23fbb590006a7c825c2410d10c8203ded913cf693","338076e210c2d29745101df23fbb590006a7c825c2410d10c8203ded913cf693","accepted_display_copy","PASS"
"C26","panel_2","reference/accepted/appendix_tables/inference_diagnostics_cox_power_quarantine_table_body.csv","output/tables/appendix/C26_panel_2_table_body.csv","accepted_source_materialized_upstream","dcd717b380393f70380cfdb576e4886c8eb72532be547ddfc8e5cd5eee7ed5f3",TRUE,"all displayed strings match","","","dcd717b380393f70380cfdb576e4886c8eb72532be547ddfc8e5cd5eee7ed5f3","dcd717b380393f70380cfdb576e4886c8eb72532be547ddfc8e5cd5eee7ed5f3","accepted_display_copy","PASS"
"C26","panel_3","reference/accepted/appendix_tables/inference_diagnostics_weibull_table_body.csv","output/tables/appendix/C26_panel_3_table_body.csv","accepted_source_materialized_upstream","88d4aaa3890998b6da0a6f255fb311a4daabc391f45b9bcaf21e9c40df0262aa",TRUE,"all displayed strings match","","","88d4aaa3890998b6da0a6f255fb311a4daabc391f45b9bcaf21e9c40df0262aa","88d4aaa3890998b6da0a6f255fb311a4daabc391f45b9bcaf21e9c40df0262aa","accepted_display_copy","PASS"
